Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Tignes (FR);Les Arcs (FR);Les Ménuires (FR);Les Deux Alpes (FR);La Plagne (FR);La Clusaz (FR);Morzine (FR);Châtel (FR);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Vars (FR);Grand Bornand (FR);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-09-08;0,00;10,00;20,00;7,00;3,00;0,00;0,00;25,00;0,00;0,00;13,00;0,00;26,00;0,00;0,00;0,00;0,00;13,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-15;40,00;40,00;56,00;12,00;0,00;0,00;40,00;13,68;0,00;13,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;13,00;13,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-22;26,00;59,43;37,14;0,00;0,00;13,00;0,00;0,00;13,00;0,00;13,00;13,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-29;0,00;10,00;10,00;10,00;13,00;0,00;0,00;36,00;12,00;0,00;13,00;38,00;13,00;0,00;0,00;0,00;0,00;38,00;0,00;13,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00
2019-10-06;38,00;60,80;38,00;49,40;49,40;12,67;0,00;50,67;25,33;0,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00
2019-10-13;0,00;10,00;17,00;0,00;0,00;37,00;0,00;0,00;37,00;0,00;13,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-10-20;39,00;39,00;11,70;27,30;27,30;26,35;26,35;26,35;0,00;13,00;13,00;13,00;13,00;0,00;0,00;0,00;0,00;0,00;13,00;0,00;13,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00
2019-10-27;13,00;43,33;30,33;13,00;0,00;13,00;26,00;13,00;0,00;0,00;13,00;38,00;13,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-11-03;25,00;25,00;54,17;54,17;25,00;25,00;12,50;50,00;37,50;25,00;38,00;13,00;13,00;25,00;0,00;0,00;0,00;13,00;0,00;13,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00
2019-11-10;38,00;87,40;49,40;11,40;38,00;38,00;12,67;12,67;25,33;13,00;0,00;0,00;25,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-11-17;0,00;7,00;7,00;10,00;7,00;12,00;0,00;36,00;24,00;13,00;25,00;76,00;0,00;0,00;13,00;0,00;13,00;0,00;13,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-11-24;12,00;36,00;52,00;0,00;24,00;35,00;12,00;0,00;23,00;0,00;12,00;12,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-01;25,00;35,71;57,14;35,71;46,43;50,00;12,50;37,50;12,50;0,00;0,00;25,00;13,00;0,00;0,00;0,00;13,00;0,00;13,00;0,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00
