Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Tignes (FR);Les Arcs (FR);Les Ménuires (FR);Les Deux Alpes (FR);La Plagne (FR);La Clusaz (FR);Morzine (FR);Châtel (FR);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Vars (FR);Grand Bornand (FR);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-12-22;90,00;22,50;67,50;11,25;33,75;79,50;90,00;12,00;57,00;56,00;34,00;22,00;45,00;34,00;11,00;45,00;22,00;22,00;11,00;22,00;22,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-29;33,00;100,43;55,96;44,48;100,43;55,50;78,00;43,50;22,50;0,00;0,00;33,00;11,00;11,00;0,00;22,00;33,00;11,00;11,00;33,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-01-05;49,00;88,20;39,20;29,40;39,20;68,30;10,39;29,70;29,70;10,00;49,00;30,00;0,00;10,00;20,00;10,00;30,00;10,00;10,00;30,00;10,00;10,00;0,00;0,00;10,00;0,00;0,00;0,00
2020-01-12;19,00;73,29;55,64;55,64;27,14;103,77;46,77;57,00;57,00;10,00;29,00;29,00;0,00;29,00;19,00;29,00;38,00;0,00;10,00;10,00;0,00;10,00;10,00;0,00;0,00;0,00;0,00;0,00
2020-01-19;100,00;90,14;70,42;39,44;29,58;80,60;29,85;40,30;10,45;30,00;40,00;20,00;20,00;0,00;0,00;10,00;20,00;30,00;30,00;0,00;20,00;10,00;10,00;10,00;0,00;0,00;0,00;0,00
2020-01-26;80,00;129,12;129,12;58,95;68,77;81,51;90,57;60,38;70,94;10,00;10,00;50,00;60,00;0,00;20,00;0,00;40,00;20,00;20,00;10,00;20,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-02-02;50,00;88,89;59,72;88,89;38,89;58,82;58,82;88,24;29,41;40,00;10,00;10,00;30,00;30,00;10,00;0,00;10,00;0,00;30,00;20,00;10,00;20,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-02-09;20,00;60,00;70,00;80,00;60,00;41,54;41,54;81,54;10,77;30,00;50,00;10,00;0,00;30,00;20,00;30,00;30,00;10,00;20,00;0,00;20,00;0,00;20,00;0,00;0,00;0,00;0,00;0,00
2020-02-16;59,00;59,00;118,00;137,67;49,17;48,68;29,50;137,18;67,85;30,00;10,00;30,00;30,00;30,00;10,00;0,00;10,00;30,00;10,00;10,00;10,00;20,00;0,00;10,00;0,00;0,00;0,00;0,00
2020-02-23;49,00;58,80;49,00;117,60;78,40;68,30;19,30;117,30;19,30;30,00;20,00;29,00;10,00;20,00;10,00;39,00;10,00;10,00;0,00;10,00;10,00;10,00;20,00;0,00;0,00;0,00;0,00;0,00
