Week-end;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-07-21;25,00;11,00;2,00;7,00;20,00;19,00;8,00;0,50;0,50
2019-07-28;29,00;15,00;5,00;7,00;20,00;13,00;11,00;0,50;0,50
2019-08-04;29,00;15,00;10,00;8,00;19,00;12,00;11,00;1,00;0,50
2019-08-11;29,00;11,00;9,00;8,00;15,00;14,00;10,00;0,50;0,50
2019-08-18;30,00;8,00;6,00;6,00;16,00;15,00;10,00;0,50;0,50
2019-08-25;29,00;11,00;10,00;8,00;18,00;14,00;8,00;0,50;0,50
2019-09-01;30,00;14,00;14,00;9,00;18,00;17,00;9,00;1,00;0,50
2019-09-08;28,00;9,00;12,00;8,00;19,00;13,00;12,00;1,00;1,00
2019-09-15;31,00;13,00;12,00;8,00;19,00;12,00;9,00;1,00;0,50
2019-09-22;28,00;18,00;13,00;8,00;16,00;12,00;10,00;1,00;0,50
2019-09-29;30,00;10,00;8,00;7,00;18,00;13,00;10,00;1,00;0,50
2019-10-06;32,00;20,00;9,00;8,00;18,00;14,00;11,00;1,00;0,50
2019-10-13;32,00;14,00;13,00;8,00;17,00;13,00;11,00;1,00;0,50
2019-10-20;30,00;11,00;11,00;8,00;15,00;12,00;11,00;0,50;1,00
2019-10-27;34,00;15,00;6,00;6,00;18,00;16,00;8,00;1,00;0,50
2019-11-03;32,00;12,00;10,00;6,00;14,00;12,00;9,00;1,00;0,50
2019-11-10;28,00;13,00;4,00;7,00;18,00;9,00;7,00;1,00;0,50
2019-11-17;25,00;9,00;8,00;6,00;17,00;10,00;9,00;0,50;1,00
2019-11-24;27,00;7,00;5,00;6,00;13,00;10,00;7,00;0,50;0,50
2019-12-01;23,00;8,00;11,00;5,00;13,00;8,00;5,00;0,50;0,50
2019-12-08;26,00;10,00;7,00;6,00;10,00;9,00;5,00;1,00;0,50
2019-12-15;24,00;9,00;9,00;5,00;10,00;9,00;7,00;1,00;0,50
2019-12-22;28,00;12,00;7,00;4,00;11,00;7,00;7,00;0,50;0,50
2019-12-29;24,00;10,00;6,00;4,00;11,00;9,00;6,00;0,50;0,50
2020-01-05;26,00;11,00;7,00;6,00;16,00;9,00;10,00;1,00;1,00
2020-01-12;30,00;13,00;15,00;7,00;21,00;9,00;10,00;1,00;1,00
2020-01-19;30,00;12,00;10,00;7,00;16,00;12,00;10,00;1,00;1,00
2020-01-26;30,00;13,00;12,00;7,00;16,00;10,00;7,00;1,00;1,00
2020-02-02;30,00;10,00;6,00;7,00;20,00;8,00;10,00;0,50;1,00
2020-02-09;33,00;14,00;9,00;8,00;16,00;10,00;8,00;1,00;1,00
2020-02-16;32,00;12,00;9,00;7,00;15,00;11,00;10,00;1,00;1,00
2020-02-23;24,00;16,00;8,00;6,00;14,00;6,00;7,00;0,50;0,50
2020-03-01;25,00;9,00;7,00;5,00;15,00;7,00;8,00;0,50;1,00
2020-03-08;19,00;8,00;6,00;4,00;8,00;3,00;7,00;0,50;1,00
2020-03-15;6,00;6,00;1,00;2,00;2,00;4,00;2,00;0,50;1,00
2020-03-22;6,00;2,00;4,00;3,00;4,00;2,00;2,00;0,50;0,50
2020-03-29;7,00;3,00;3,00;2,00;2,00;3,00;1,00;0,50;0,50
2020-04-05;13,00;4,00;2,00;2,00;2,00;2,00;2,00;0,50;0,50
2020-04-12;8,00;2,00;4,00;1,00;2,00;3,00;1,00;0,50;1,00
2020-04-19;6,00;4,00;3,00;2,00;3,00;3,00;3,00;0,50;0,50
2020-04-26;6,00;3,00;2,00;3,00;3,00;3,00;3,00;0,50;0,50
2020-05-03;8,00;4,00;4,00;3,00;3,00;3,00;3,00;0,50;0,50
2020-05-10;10,00;1,00;7,00;4,00;3,00;4,00;3,00;0,50;0,50
2020-05-17;15,00;6,00;5,00;4,00;5,00;5,00;5,00;0,50;1,00
2020-05-24;17,00;4,00;5,00;4,00;6,00;9,00;5,00;0,50;1,00
2020-05-31;17,00;6,00;9,00;5,00;8,00;9,00;5,00;0,50;0,50
2020-06-07;19,00;7,00;9,00;5,00;8,00;11,00;6,00;0,50;0,50
2020-06-14;22,00;14,00;5,00;5,00;8,00;12,00;6,00;1,00;0,50
2020-06-21;22,00;10,00;6,00;6,00;12,00;16,00;7,00;0,50;1,00
2020-06-28;23,00;14,00;9,00;6,00;13,00;19,00;5,00;0,50;1,00
2020-07-05;27,00;9,00;12,00;6,00;12,00;15,00;7,00;0,50;0,50
2020-07-12;23,00;15,00;6,00;5,00;11,00;16,00;7,00;0,50;0,50
2020-07-19;21,00;10,00;8,00;6,00;12,00;15,00;8,00;0,50;0,50
2020-07-26;22,00;8,00;10,00;5,00;13,00;17,00;8,00;0,50;1,00
2020-08-02;23,00;12,00;15,00;5,00;14,00;13,00;8,00;0,50;1,00
2020-08-09;26,00;7,00;9,00;5,00;15,00;10,00;6,00;0,50;1,00
2020-08-16;26,00;14,00;10,00;5,00;11,00;11,00;8,00;0,50;1,00
2020-08-23;21,00;8,00;6,00;6,00;14,00;13,00;8,00;1,00;0,50
2020-08-30;22,00;15,00;8,00;6,00;14,00;11,00;6,00;0,50;1,00
2020-09-06;23,00;13,00;9,00;6,00;13,00;12,00;6,00;1,00;1,00
2020-09-13;25,00;15,00;10,00;7,00;13,00;12,00;7,00;0,50;1,00
2020-09-20;20,00;16,00;7,00;7,00;13,00;10,00;6,00;0,50;1,00
2020-09-27;17,00;14,00;6,00;6,00;12,00;9,00;7,00;1,00;1,00
2020-10-04;23,00;11,00;11,00;7,00;12,00;9,00;7,00;0,50;1,00
2020-10-11;20,00;9,00;11,00;4,00;10,00;8,00;4,00;0,50;1,00
2020-10-18;17,00;6,00;10,00;5,00;7,00;8,00;5,00;0,50;1,00
2020-10-25;25,00;5,00;9,00;3,00;13,00;7,00;3,00;1,00;0,50
2020-11-01;6,00;7,00;7,00;3,00;8,00;5,00;3,00;0,50;1,00
2020-11-08;6,00;8,00;8,00;3,00;8,00;6,00;3,00;0,50;1,00
2020-11-15;8,00;5,00;5,00;3,00;6,00;6,00;2,00;1,00;0,50
2020-11-22;10,00;5,00;9,00;3,00;6,00;2,00;4,00;0,50;0,50
2020-11-29;10,00;5,00;9,00;3,00;8,00;5,00;4,00;0,50;1,00
2020-12-06;11,00;4,00;3,00;2,00;7,00;4,00;4,00;1,00;1,00
2020-12-13;12,00;6,00;4,00;2,00;8,00;7,00;2,00;0,50;0,50
2020-12-20;11,00;5,00;3,00;2,00;5,00;2,00;2,00;0,50;0,50
2020-12-27;11,00;5,00;6,00;2,00;5,00;4,00;4,00;0,50;0,50
2021-01-03;15,00;10,00;8,00;2,00;7,00;16,00;2,00;0,50;0,50
2021-01-10;19,00;7,00;6,00;3,00;6,00;18,00;3,00;0,50;1,00
2021-01-17;15,00;9,00;7,00;3,00;5,00;5,00;2,00;0,50;0,50
2021-01-24;13,00;10,00;8,00;3,00;7,00;6,00;4,00;0,50;1,00
2021-01-31;18,00;8,00;8,00;6,00;7,00;8,00;4,00;0,50;1,00
2021-02-07;16,00;8,00;12,00;3,00;5,00;9,00;3,00;0,50;1,00
2021-02-14;20,00;10,00;9,00;3,00;6,00;7,00;7,00;0,50;1,00
2021-02-21;43,00;7,00;10,00;4,00;7,00;7,00;4,00;0,50;1,00
2021-02-28;56,00;10,00;9,00;4,00;10,00;7,00;6,00;0,50;0,50
2021-03-07;38,00;12,00;7,00;3,00;8,00;27,00;4,00;0,50;1,00
2021-03-14;34,00;9,00;15,00;3,00;12,00;9,00;5,00;0,50;1,00
2021-03-21;22,00;4,00;12,00;3,00;9,00;5,00;7,00;0,50;0,50
2021-03-28;100,00;9,00;15,00;2,00;10,00;7,00;6,00;0,50;0,50
2021-04-04;23,00;8,00;9,00;3,00;10,00;7,00;5,00;0,00;1,00
2021-04-11;13,00;8,00;11,00;4,00;10,00;8,00;6,00;0,50;1,00
2021-04-18;16,00;11,00;5,00;3,00;10,00;8,00;6,00;0,50;1,00
2021-04-25;25,00;10,00;7,00;4,00;11,00;9,00;4,00;0,50;1,00
2021-05-02;33,00;9,00;11,00;4,00;13,00;10,00;9,00;0,00;1,00
2021-05-09;29,00;10,00;7,00;4,00;11,00;13,00;7,00;0,50;1,00
2021-05-16;27,00;11,00;13,00;4,00;19,00;15,00;7,00;0,50;1,00
2021-05-23;24,00;10,00;6,00;4,00;16,00;13,00;5,00;0,50;1,00
2021-05-30;30,00;6,00;4,00;5,00;20,00;13,00;5,00;0,50;1,00
2021-06-06;24,00;10,00;5,00;4,00;17,00;12,00;4,00;0,50;1,00
2021-06-13;21,00;8,00;6,00;4,00;20,00;14,00;4,00;0,50;1,00
2021-06-20;25,00;13,00;9,00;5,00;16,00;13,00;5,00;0,50;1,00
2021-06-27;23,00;7,00;8,00;5,00;14,00;15,00;7,00;0,50;1,00
2021-07-04;25,00;10,00;7,00;7,00;14,00;12,00;6,00;0,50;1,00
2021-07-11;18,00;10,00;7,00;5,00;14,00;17,00;6,00;0,50;1,00
2021-07-18;17,00;8,00;7,00;7,00;14,00;12,00;4,00;0,50;1,00
2021-07-25;19,00;8,00;10,00;5,00;15,00;11,00;7,00;0,50;1,00
2021-08-01;20,00;12,00;5,00;6,00;14,00;11,00;5,00;0,50;1,00
2021-08-08;22,00;15,00;10,00;6,00;18,00;13,00;7,00;0,50;1,00
2021-08-15;23,00;8,00;7,00;6,00;17,00;12,00;7,00;0,50;1,00
2021-08-22;23,00;12,00;9,00;8,00;15,00;15,00;5,00;0,50;1,00
2021-08-29;21,00;8,00;4,00;7,00;14,00;16,00;6,00;0,50;1,00
