Tout_inclus;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-11-24;37,00;27,00;16,00;18,00;8,00;15,58;33,11;62,32;46,74
2019-12-01;38,00;35,00;46,00;19,00;7,00;16,00;38,00;64,00;52,00
2019-12-08;45,00;42,00;19,00;20,00;6,00;9,78;41,09;74,35;50,87
2019-12-15;46,00;25,00;27,00;19,00;4,00;18,00;38,00;80,00;56,00
2019-12-22;68,00;17,00;14,00;30,00;6,00;21,37;56,34;106,86;68,00
2019-12-29;71,00;44,00;33,00;37,00;14,00;21,69;61,14;171,58;86,78
2020-01-05;69,00;61,00;25,00;43,00;12,00;33,51;86,74;191,23;94,63
2020-01-12;67,00;30,00;52,00;42,00;10,00;31,53;84,74;175,38;90,65
2020-01-19;71,00;56,00;32,00;38,00;10,00;31,56;57,19;159,75;86,78
2020-01-26;65,00;42,00;45,00;33,00;8,00;25,61;65,00;143,79;72,88
2020-02-02;67,00;25,00;36,00;32,00;14,00;19,71;55,18;135,97;72,91
2020-02-09;61,00;43,00;37,00;29,00;13,00;23,61;51,16;127,90;74,77
2020-02-16;68,00;34,00;39,00;31,00;9,00;24,00;54,00;142,00;78,00
2020-02-23;48,00;19,00;38,00;21,00;6,00;16,00;36,00;108,00;70,00
2020-03-01;32,00;34,00;24,00;20,00;14,00;10,00;36,00;88,00;58,00
2020-03-08;25,00;15,00;13,00;19,00;3,00;4,17;29,17;75,00;60,42
2020-03-15;8,00;9,00;8,00;7,00;4,00;6,00;10,00;34,00;30,00
2020-03-22;11,00;9,00;10,00;8,00;3,00;3,67;7,33;31,17;22,00
2020-03-29;11,00;0,00;8,00;6,00;2,00;3,67;7,33;23,83;22,00
2020-04-05;10,00;4,00;9,00;8,00;0,50;4,00;10,00;40,00;26,00
2020-04-12;11,00;5,00;13,00;9,00;4,00;4,40;8,80;39,60;33,00
2020-04-19;8,00;10,00;6,00;7,00;2,00;6,00;4,00;38,00;26,00
2020-04-26;7,00;8,00;4,00;7,00;2,00;4,67;9,33;42,00;30,33
2020-05-03;9,00;12,00;13,00;8,00;2,00;3,60;7,20;37,80;25,20
2020-05-10;10,00;7,00;10,00;11,00;1,00;4,00;12,00;40,00;30,00
2020-05-17;13,00;12,00;12,00;9,00;4,00;7,43;16,71;42,71;27,86
2020-05-24;16,00;12,00;18,00;14,00;5,00;8,00;34,00;48,00;30,00
2020-05-31;25,00;18,00;13,00;13,00;4,00;15,38;38,46;50,00;32,69
2020-06-07;26,00;13,00;15,00;16,00;6,00;22,00;22,00;44,00;44,00
2020-06-14;29,00;17,00;9,00;19,00;4,00;24,86;26,93;58,00;41,43
2020-06-21;35,00;29,00;39,00;16,00;8,00;31,11;21,39;73,89;40,83
2020-06-28;37,00;16,00;31,00;20,00;5,00;31,16;35,05;64,26;33,11
2020-07-05;32,00;24,00;7,00;26,00;12,00;38,00;42,00;64,00;38,00
2020-07-12;32,00;16,00;22,00;18,00;8,00;36,00;44,00;72,00;36,00
2020-07-19;27,00;17,00;37,00;20,00;12,00;27,00;50,14;69,43;38,57
2020-07-26;32,00;14,00;12,00;19,00;10,00;40,00;34,00;62,00;34,00
2020-08-02;30,00;21,00;22,00;16,00;14,00;32,00;30,00;64,00;38,00
2020-08-09;30,00;16,00;25,00;18,00;11,00;34,00;36,00;70,00;44,00
2020-08-16;31,00;11,00;16,00;14,00;12,00;23,25;27,13;63,94;38,75
2020-08-23;26,00;9,00;9,00;13,00;9,00;18,00;38,00;68,00;36,00
2020-08-30;31,00;15,00;11,00;15,00;9,00;13,56;29,06;56,19;36,81
2020-09-06;18,00;11,00;16,00;13,00;1,00;6,00;28,00;58,00;42,00
2020-09-13;25,00;13,00;14,00;14,00;6,00;6,25;18,75;58,33;37,50
2020-09-20;19,00;7,00;13,00;14,00;2,00;3,80;24,70;43,70;38,00
2020-09-27;18,00;9,00;18,00;12,00;6,00;6,00;14,00;52,00;42,00
2020-10-04;16,00;9,00;19,00;11,00;3,00;8,00;10,00;42,00;44,00
2020-10-11;19,00;6,00;17,00;8,00;3,00;2,11;10,56;52,78;46,44
2020-10-18;16,00;6,00;5,00;7,00;3,00;2,00;10,00;42,00;50,00
2020-10-25;8,00;4,00;7,00;5,00;2,00;2,00;6,00;48,00;36,00
2020-11-01;7,00;7,00;9,00;4,00;1,00;2,33;18,67;37,33;42,00
2020-11-08;9,00;13,00;9,00;7,00;4,00;2,25;15,75;40,50;49,50
2020-11-15;13,00;9,00;9,00;6,00;4,00;1,86;9,29;44,57;35,29
2020-11-22;15,00;15,00;9,00;6,00;2,00;2,14;15,00;49,29;40,71
2020-11-29;15,00;13,00;2,00;6,00;3,00;1,88;18,75;37,50;37,50
2020-12-06;16,00;7,00;4,00;6,00;2,00;2,00;10,00;38,00;44,00
2020-12-13;21,00;13,00;5,00;7,00;3,00;5,73;3,82;34,36;38,18
2020-12-20;22,00;10,00;19,00;6,00;4,00;6,00;10,00;38,00;52,00
2020-12-27;27,00;14,00;13,00;10,00;3,00;7,71;7,71;46,29;61,71
2021-01-03;33,00;17,00;21,00;10,00;3,00;5,82;17,47;40,76;62,12
2021-01-10;25,00;22,00;5,00;8,00;1,00;2,08;12,50;43,75;68,75
2021-01-17;22,00;13,00;23,00;9,00;3,00;4,00;6,00;42,00;62,00
2021-01-24;18,00;9,00;11,00;9,00;1,00;6,00;8,00;38,00;58,00
2021-01-31;15,00;6,00;11,00;9,00;3,00;6,43;10,71;30,00;57,86
2021-02-07;20,00;15,00;18,00;7,00;1,00;4,00;12,00;30,00;58,00
2021-02-14;20,00;2,00;14,00;7,00;5,00;8,00;18,00;34,00;70,00
2021-02-21;22,00;19,00;12,00;12,00;4,00;6,00;4,00;52,00;76,00
2021-02-28;17,00;6,00;7,00;9,00;5,00;6,38;19,13;46,75;78,63
2021-03-07;24,00;6,00;7,00;7,00;5,00;8,00;14,00;48,00;84,00
2021-03-14;20,00;11,00;15,00;11,00;4,00;6,00;18,00;48,00;90,00
2021-03-21;23,00;4,00;16,00;7,00;3,00;5,75;21,08;30,67;78,58
2021-03-28;17,00;2,00;18,00;9,00;6,00;12,75;17,00;31,88;85,00
2021-04-04;20,00;11,00;24,00;10,00;5,00;14,00;16,00;26,00;88,00
2021-04-11;19,00;19,00;14,00;11,00;5,00;21,11;19,00;27,44;92,89
2021-04-18;31,00;22,00;19,00;8,00;5,00;8,27;20,67;26,87;86,80
2021-04-25;26,00;25,00;16,00;8,00;7,00;20,00;16,00;30,00;78,00
2021-05-02;37,00;22,00;5,00;13,00;8,00;15,58;23,37;35,05;77,89
2021-05-09;53,00;23,00;26,00;18,00;9,00;19,63;31,41;37,30;78,52
2021-05-16;52,00;42,00;23,00;31,00;11,00;26,00;34,00;36,00;82,00
2021-05-23;53,00;35,00;17,00;38,00;11,00;31,41;43,19;31,41;78,52
2021-05-30;53,00;54,00;36,00;37,00;9,00;39,26;51,04;41,22;82,44
2021-06-06;49,00;51,00;30,00;43,00;15,00;33,32;47,04;33,32;84,28
2021-06-13;54,00;41,00;35,00;41,00;11,00;50,00;50,00;36,00;80,00
2021-06-20;70,00;46,00;49,00;48,00;17,00;42,00;78,00;46,00;88,00
2021-06-27;54,00;72,00;44,00;37,00;15,00;44,00;76,00;36,00;80,00
2021-07-04;50,00;63,00;46,00;38,00;15,00;48,00;60,00;50,00;84,00
2021-07-11;44,00;40,00;50,00;36,00;13,00;38,00;54,00;54,00;80,00
2021-07-18;50,00;76,00;49,00;35,00;19,00;42,00;48,00;58,00;78,00
2021-07-25;53,00;43,00;54,00;40,00;16,00;31,41;62,81;51,04;68,70
2021-08-01;58,00;30,00;48,00;37,00;13,00;40,00;78,00;64,00;64,00
2021-08-08;60,00;55,00;46,00;36,00;15,00;38,00;68,00;70,00;56,00
2021-08-15;51,00;40,00;18,00;33,00;20,00;34,68;75,48;61,20;57,12
2021-08-22;52,00;40,00;26,00;32,00;13,00;24,00;78,00;64,00;50,00
2021-08-29;44,00;43,00;29,00;35,00;12,00;20,00;54,00;64,00;56,00
