Croisiere;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-11-17;25,00;16,00;29,00;55,00;3,00;45,83;2,78;4,17;4,17
2019-11-24;30,00;7,00;38,00;37,00;3,00;47,73;1,36;4,09;2,73
2019-12-01;25,00;10,00;34,00;44,00;2,00;34,72;4,17;4,17;4,17
2019-12-08;22,00;8,00;20,00;41,00;1,00;46,75;1,38;4,13;4,13
2019-12-15;24,00;11,00;36,00;44,00;2,00;38,67;4,00;8,00;10,67
2019-12-22;28,00;11,00;47,00;73,00;4,00;65,33;1,33;8,00;9,33
2019-12-29;46,00;10,00;53,00;88,00;2,00;74,41;2,71;8,12;5,41
2020-01-05;69,00;12,00;60,00;82,00;3,00;73,06;1,35;4,06;5,41
2020-01-12;44,00;12,00;67,00;74,00;2,00;70,67;1,33;4,00;5,33
2020-01-19;42,00;21,00;45,00;69,00;3,00;74,52;1,35;5,42;5,42
2020-01-26;48,00;14,00;45,00;66,00;2,00;86,40;1,37;12,34;8,23
2020-02-02;41,00;11,00;58,00;58,00;2,00;47,61;5,29;9,26;9,26
2020-02-09;40,00;15,00;32,00;54,00;3,00;60,69;5,52;8,28;11,03
2020-02-16;33,00;24,00;46,00;48,00;2,00;50,88;6,88;8,25;8,25
2020-02-23;34,00;15,00;41,00;47,00;2,00;44,88;2,72;6,80;6,80
2020-03-01;30,00;9,00;34,00;47,00;1,00;38,18;5,45;9,55;10,91
2020-03-08;39,00;4,00;59,00;100,00;6,00;18,11;2,79;9,75;15,32
2020-03-15;13,00;8,00;21,00;42,00;1,00;20,22;0,72;10,11;7,22
2020-03-22;15,00;5,00;20,00;24,00;1,00;12,27;0,68;4,09;6,82
2020-03-29;13,00;7,00;18,00;27,00;1,00;15,60;1,30;3,90;10,40
2020-04-05;12,00;7,00;20,00;27,00;1,00;9,33;0,67;2,67;4,00
2020-04-12;12,00;3,00;16,00;30,00;1,00;16,00;1,33;4,00;4,00
2020-04-19;15,00;5,00;9,00;26,00;1,00;19,09;1,36;4,09;4,09
2020-04-26;10,00;2,00;27,00;28,00;0,00;14,29;1,43;2,86;2,86
2020-05-03;15,00;6,00;15,00;26,00;1,00;16,36;1,36;2,73;2,73
2020-05-10;9,00;4,00;16,00;30,00;1,00;15,43;1,29;1,29;3,86
2020-05-17;11,00;8,00;21,00;30,00;1,00;15,13;0,69;4,13;2,75
2020-05-24;15,00;4,00;16,00;32,00;0,50;13,64;0,68;2,73;2,73
2020-05-31;17,00;5,00;13,00;33,00;1,00;22,67;2,83;4,25;1,42
2020-06-07;15,00;6,00;25,00;35,00;1,00;24,55;1,36;5,45;2,73
2020-06-14;39,00;5,00;23,00;32,00;0,00;22,86;1,34;5,38;4,03
2020-06-21;39,00;8,00;18,00;28,00;1,00;29,59;1,34;5,38;2,69
2020-06-28;20,00;7,00;28,00;32,00;0,50;30,67;0,00;5,33;2,67
2020-07-05;26,00;4,00;30,00;34,00;0,00;32,84;1,37;5,47;2,74
2020-07-12;32,00;4,00;24,00;26,00;2,00;34,78;5,57;4,17;2,78
2020-07-19;27,00;9,00;33,00;27,00;1,00;27,00;4,05;4,05;4,05
2020-07-26;28,00;7,00;12,00;25,00;0,50;32,00;5,33;2,67;2,67
2020-08-02;32,00;5,00;29,00;31,00;1,00;45,91;2,78;6,96;4,17
2020-08-09;29,00;1,00;24,00;24,00;1,00;35,90;4,14;2,76;2,76
2020-08-16;28,00;6,00;16,00;18,00;1,00;44,00;1,33;4,00;2,67
2020-08-23;26,00;5,00;13,00;23,00;1,00;35,58;1,37;5,47;2,74
2020-08-30;18,00;8,00;17,00;13,00;0,00;19,38;2,77;5,54;2,77
2020-09-06;16,00;9,00;14,00;15,00;1,00;24,00;1,33;5,33;2,67
2020-09-13;16,00;4,00;14,00;19,00;1,00;22,67;0,00;2,67;2,67
2020-09-20;12,00;5,00;19,00;18,00;0,50;18,67;0,67;4,00;2,67
2020-09-27;14,00;1,00;13,00;17,00;0,50;25,20;1,40;4,20;2,80
2020-10-04;13,00;8,00;23,00;16,00;0,50;18,20;1,30;3,90;2,60
2020-10-11;13,00;3,00;5,00;16,00;1,00;18,78;2,89;5,78;2,89
2020-10-18;15,00;4,00;10,00;15,00;1,00;15,00;1,36;5,45;2,73
2020-10-25;12,00;1,00;11,00;13,00;0,00;12,00;3,00;3,00;3,00
2020-11-01;8,00;3,00;5,00;16,00;0,50;16,00;1,33;2,67;2,67
2020-11-08;8,00;3,00;5,00;17,00;1,00;16,00;1,33;1,33;4,00
2020-11-15;7,00;4,00;5,00;13,00;0,00;16,80;0,00;4,20;4,20
2020-11-22;10,00;1,00;6,00;14,00;2,00;17,14;1,43;4,29;4,29
2020-11-29;8,00;1,00;10,00;14,00;1,00;20,00;1,33;2,67;2,67
2020-12-06;8,00;1,00;8,00;12,00;1,00;13,33;1,33;2,67;2,67
2020-12-13;10,00;1,00;3,00;11,00;0,50;18,57;1,43;2,86;4,29
2020-12-20;12,00;10,00;8,00;19,00;0,50;14,67;2,67;4,00;2,67
2020-12-27;12,00;4,00;17,00;26,00;0,50;21,33;2,67;4,00;4,00
2021-01-03;12,00;5,00;18,00;20,00;1,00;20,00;1,33;5,33;2,67
2021-01-10;12,00;5,00;11,00;15,00;2,00;25,50;1,50;4,50;3,00
2021-01-17;11,00;3,00;13,00;18,00;1,00;17,88;1,38;4,13;4,13
2021-01-24;12,00;5,00;11,00;18,00;0,50;26,67;0,67;4,00;2,67
2021-01-31;11,00;3,00;14,00;13,00;1,00;23,38;1,38;2,75;2,75
2021-02-07;11,00;4,00;11,00;14,00;0,50;17,88;1,38;4,13;2,75
2021-02-14;14,00;4,00;17,00;17,00;1,00;18,20;1,40;4,20;4,20
2021-02-21;16,00;11,00;17,00;18,00;0,50;17,33;1,33;2,67;2,67
2021-02-28;10,00;7,00;10,00;15,00;0,50;25,71;1,43;4,29;2,86
2021-03-07;12,00;8,00;16,00;19,00;0,50;22,67;1,33;4,00;2,67
2021-03-14;12,00;1,00;11,00;18,00;0,50;17,33;0,00;2,67;2,67
2021-03-21;12,00;3,00;6,00;13,00;1,00;24,00;3,00;3,00;4,50
2021-03-28;9,00;7,00;7,00;11,00;2,00;34,50;0,00;1,50;3,00
2021-04-04;12,00;16,00;15,00;21,00;1,00;30,67;4,00;2,67;4,00
2021-04-11;11,00;1,00;23,00;19,00;1,00;27,50;0,00;2,75;4,13
2021-04-18;13,00;11,00;12,00;16,00;1,00;29,90;0,00;1,30;3,90
2021-04-25;14,00;9,00;16,00;20,00;0,50;35,00;1,40;1,40;2,80
2021-05-02;18,00;5,00;19,00;21,00;1,00;45,69;0,00;2,77;4,15
2021-05-09;20,00;5,00;12,00;26,00;0,00;41,33;1,33;2,67;4,00
2021-05-16;18,00;5,00;13,00;30,00;1,00;49,85;0,00;4,15;4,15
2021-05-23;25,00;14,00;17,00;30,00;2,00;56,94;0,00;1,39;4,17
2021-05-30;19,00;11,00;17,00;33,00;1,00;66,50;1,36;2,71;4,07
2021-06-06;24,00;14,00;30,00;31,00;2,00;69,33;1,33;4,00;6,67
2021-06-13;20,00;5,00;20,00;27,00;1,00;65,71;0,71;2,86;4,29
2021-06-20;23,00;9,00;25,00;35,00;1,00;59,53;1,35;4,06;4,06
2021-06-27;28,00;8,00;27,00;33,00;1,00;58,80;2,80;4,20;4,20
2021-07-04;31,00;14,00;19,00;32,00;1,00;71,43;1,35;4,04;4,04
2021-07-11;30,00;12,00;35,00;33,00;1,00;61,36;1,36;4,09;4,09
2021-07-18;43,00;5,00;31,00;33,00;2,00;63,16;0,00;5,38;4,03
2021-07-25;34,00;8,00;31,00;39,00;2,00;59,84;1,36;4,08;4,08
2021-08-01;37,00;12,00;32,00;40,00;2,00;64,41;4,11;5,48;4,11
2021-08-08;41,00;6,00;25,00;46,00;1,00;73,80;1,37;4,10;4,10
2021-08-15;34,00;6,00;25,00;34,00;4,00;81,60;4,08;4,08;4,08
2021-08-22;31,00;21,00;34,00;41,00;2,00;70,09;5,39;4,04;4,04
2021-08-29;33,00;11,00;45,00;37,00;2,00;60,50;2,75;4,13;4,13
