Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Tignes (FR);Les Arcs (FR);Les Ménuires (FR);Les Deux Alpes (FR);La Plagne (FR);La Clusaz (FR);Morzine (FR);Châtel (FR);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Vars (FR);Grand Bornand (FR);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-11-10;15,00;7,00;7,00;7,00;7,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;7,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-11-17;36,00;15,00;15,00;7,00;15,00;0,00;0,00;7,00;14,00;7,00;7,00;0,00;7,00;0,00;7,00;0,00;0,00;0,00;7,00;0,00;7,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00
2019-11-24;36,00;0,00;7,00;0,00;0,00;0,00;14,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;7,00;0,00;7,00;7,00;14,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-01;0,00;15,00;0,00;15,00;7,00;0,00;7,00;15,00;22,00;7,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-08;60,00;52,00;7,00;15,00;7,00;7,00;30,00;15,00;15,00;0,00;0,00;7,00;0,00;0,00;7,00;0,00;0,00;0,00;7,00;22,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00
2019-12-15;37,00;30,00;7,00;15,00;15,00;30,00;15,00;15,00;15,00;15,00;7,00;7,00;0,00;0,00;15,00;7,00;0,00;0,00;22,00;22,00;22,00;0,00;15,00;0,00;0,00;0,00;0,00;0,00
2019-12-22;60,00;52,00;9,00;9,00;0,00;17,00;0,00;9,00;17,00;9,00;0,00;0,00;0,00;0,00;9,00;0,00;9,00;0,00;0,00;17,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-29;32,00;32,00;16,00;0,00;32,00;16,00;16,00;0,00;16,00;8,00;8,00;8,00;0,00;0,00;32,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-01-05;56,00;42,00;7,00;7,00;14,00;14,00;14,00;7,00;7,00;21,00;7,00;7,00;0,00;0,00;7,00;0,00;0,00;0,00;7,00;7,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-01-12;27,00;14,00;20,00;27,00;0,00;0,00;7,00;27,00;47,00;7,00;7,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
