Chambres_hotes;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-08-11;71,00;53,00;25,00;12,00;11,00;363,35;54,29;66,82;12,53
2019-08-18;56,00;84,00;27,00;11,00;10,00;240,00;60,00;72,00;12,00
2019-08-25;48,00;44,00;39,00;11,00;9,00;176,00;36,00;64,00;12,00
2019-09-01;37,00;49,00;22,00;12,00;5,00;168,56;37,00;57,56;12,33
2019-09-08;43,00;63,00;39,00;9,00;9,00;163,40;43,00;73,10;12,90
2019-09-15;37,00;45,00;43,00;11,00;6,00;148,00;41,11;61,67;12,33
2019-09-22;28,00;28,00;22,00;12,00;9,00;124,00;36,00;52,00;12,00
2019-09-29;32,00;40,00;39,00;9,00;6,00;116,00;28,00;52,00;12,00
2019-10-06;30,00;42,00;31,00;8,00;7,00;124,29;38,57;55,71;12,86
2019-10-13;29,00;34,00;21,00;8,00;5,00;116,00;41,43;53,86;12,43
2019-10-20;29,00;47,00;22,00;8,00;9,00;107,71;33,14;49,71;12,43
2019-10-27;25,00;60,00;23,00;6,00;5,00;120,83;33,33;41,67;12,50
2019-11-03;22,00;43,00;17,00;8,00;5,00;105,60;35,20;44,00;13,20
2019-11-10;23,00;33,00;18,00;7,00;6,00;92,00;23,00;34,50;11,50
2019-11-17;21,00;29,00;14,00;6,00;6,00;100,80;25,20;37,80;12,60
2019-11-24;20,00;26,00;16,00;7,00;4,00;92,00;20,00;32,00;12,00
2019-12-01;17,00;25,00;19,00;6,00;8,00;97,75;25,50;34,00;12,75
2019-12-08;19,00;23,00;16,00;6,00;4,00;76,00;26,60;30,40;11,40
2019-12-15;15,00;25,00;16,00;7,00;5,00;75,00;18,75;30,00;11,25
2019-12-22;46,00;41,00;25,00;9,00;5,00;112,91;33,45;46,00;20,91
2019-12-29;26,00;39,00;18,00;10,00;7,00;138,67;26,00;43,33;17,33
2020-01-05;23,00;46,00;21,00;9,00;10,00;88,17;30,67;46,00;15,33
2020-01-12;24,00;45,00;31,00;10,00;7,00;100,00;40,00;48,00;16,00
2020-01-19;28,00;40,00;21,00;10,00;7,00;96,00;32,00;44,00;16,00
2020-01-26;30,00;34,00;24,00;10,00;6,00;90,00;47,14;47,14;17,14
2020-02-02;35,00;54,00;27,00;10,00;8,00;100,63;39,38;52,50;17,50
2020-02-09;32,00;49,00;31,00;9,00;6,00;104,00;24,00;44,00;16,00
2020-02-16;32,00;40,00;30,00;9,00;7,00;96,00;44,00;52,00;16,00
2020-02-23;27,00;40,00;21,00;10,00;8,00;50,14;27,00;46,29;11,57
2020-03-01;23,00;34,00;10,00;6,00;5,00;53,67;19,17;42,17;11,50
2020-03-08;17,00;26,00;9,00;4,00;4,00;21,25;21,25;42,50;12,75
2020-03-15;7,00;15,00;6,00;2,00;3,00;14,00;7,00;21,00;7,00
2020-03-22;6,00;9,00;1,00;2,00;2,00;18,00;12,00;24,00;12,00
2020-03-29;11,00;13,00;3,00;2,00;1,00;11,00;7,33;11,00;3,67
2020-04-05;9,00;11,00;7,00;3,00;4,00;13,50;9,00;22,50;9,00
2020-04-12;11,00;14,00;6,00;2,00;2,00;11,00;14,67;14,67;7,33
2020-04-19;10,00;6,00;5,00;2,00;2,00;25,00;15,00;20,00;10,00
2020-04-26;11,00;15,00;10,00;2,00;1,00;22,00;18,33;14,67;7,33
2020-05-03;11,00;16,00;2,00;2,00;2,00;22,00;25,67;18,33;7,33
2020-05-10;20,00;15,00;15,00;5,00;1,00;28,00;28,00;16,00;12,00
2020-05-17;29,00;22,00;28,00;3,00;2,00;45,57;45,57;16,57;12,43
2020-05-24;32,00;21,00;22,00;5,00;1,00;64,00;40,00;20,00;12,00
2020-05-31;40,00;43,00;24,00;7,00;3,00;88,00;48,00;24,00;12,00
2020-06-07;41,00;57,00;32,00;8,00;4,00;114,80;49,20;24,60;16,40
2020-06-14;43,00;64,00;22,00;9,00;4,00;154,80;55,90;34,40;17,20
2020-06-21;49,00;82,00;39,00;7,00;5,00;187,83;57,17;40,83;16,33
2020-06-28;54,00;81,00;28,00;9,00;5,00;228,46;58,15;41,54;16,62
2020-07-05;67,00;87,00;37,00;10,00;3,00;259,63;83,75;46,06;16,75
2020-07-12;64,00;91,00;44,00;8,00;4,00;244,00;76,00;60,00;16,00
2020-07-19;57,00;81,00;53,00;8,00;6,00;293,14;69,21;73,29;16,29
2020-07-26;69,00;84,00;42,00;8,00;5,00;292,24;93,35;73,06;16,24
2020-08-02;80,00;78,00;38,00;8,00;4,00;341,05;67,37;80,00;16,84
2020-08-09;65,00;77,00;32,00;9,00;7,00;369,69;52,81;69,06;16,25
2020-08-16;52,00;68,00;31,00;6,00;5,00;304,00;52,00;68,00;16,00
2020-08-23;40,00;38,00;32,00;6,00;4,00;188,00;48,00;64,00;16,00
2020-08-30;38,00;45,00;17,00;9,00;4,00;160,44;54,89;63,33;16,89
2020-09-06;34,00;55,00;35,00;9,00;5,00;123,25;80,75;59,50;17,00
2020-09-13;30,00;46,00;24,00;6,00;5,00;111,43;68,57;60,00;17,14
2020-09-20;26,00;41,00;21,00;7,00;2,00;91,00;39,00;43,33;17,33
2020-09-27;19,00;31,00;24,00;5,00;2,00;64,60;26,60;34,20;15,20
2020-10-04;24,00;27,00;26,00;5,00;3,00;68,00;32,00;36,00;16,00
2020-10-11;23,00;31,00;13,00;3,00;4,00;53,67;19,17;34,50;15,33
2020-10-18;21,00;23,00;6,00;3,00;2,00;46,20;16,80;37,80;16,80
2020-10-25;10,00;18,00;6,00;3,00;1,00;35,00;25,00;30,00;15,00
2020-11-01;8,00;11,00;3,00;2,00;2,00;28,00;16,00;20,00;12,00
2020-11-08;10,00;19,00;9,00;1,00;2,00;35,00;15,00;30,00;15,00
2020-11-15;11,00;19,00;11,00;2,00;2,00;22,00;14,67;18,33;11,00
2020-11-22;10,00;18,00;12,00;2,00;1,00;30,00;20,00;25,00;15,00
2020-11-29;13,00;21,00;6,00;2,00;3,00;30,33;13,00;17,33;13,00
2020-12-06;12,00;25,00;6,00;1,00;2,00;32,00;16,00;20,00;12,00
2020-12-13;14,00;13,00;5,00;2,00;2,00;32,67;18,67;23,33;14,00
2020-12-20;13,00;17,00;8,00;3,00;2,00;21,67;13,00;21,67;13,00
2020-12-27;14,00;25,00;4,00;2,00;3,00;37,33;18,67;23,33;14,00
2021-01-03;14,00;25,00;10,00;3,00;1,00;37,33;23,33;23,33;14,00
2021-01-10;14,00;24,00;13,00;2,00;2,00;32,67;18,67;18,67;14,00
2021-01-17;17,00;21,00;7,00;2,00;1,00;38,25;17,00;17,00;12,75
2021-01-24;12,00;23,00;7,00;2,00;2,00;36,00;16,00;16,00;12,00
2021-01-31;19,00;24,00;12,00;2,00;3,00;38,00;19,00;15,20;11,40
2021-02-07;20,00;35,00;8,00;3,00;2,00;44,00;20,00;12,00;12,00
2021-02-14;23,00;38,00;13,00;2,00;3,00;38,33;30,67;19,17;11,50
2021-02-21;24,00;25,00;16,00;3,00;1,00;44,00;36,00;28,00;16,00
2021-02-28;22,00;27,00;12,00;2,00;2,00;39,60;30,80;26,40;13,20
2021-03-07;21,00;24,00;7,00;3,00;3,00;33,60;29,40;29,40;16,80
2021-03-14;22,00;23,00;18,00;2,00;4,00;35,20;30,80;35,20;17,60
2021-03-21;19,00;32,00;21,00;2,00;4,00;34,20;34,20;26,60;19,00
2021-03-28;15,00;23,00;16,00;1,00;4,00;33,75;41,25;26,25;18,75
2021-04-04;13,00;40,00;14,00;2,00;1,00;56,33;52,00;30,33;21,67
2021-04-11;16,00;38,00;16,00;2,00;4,00;52,00;44,00;28,00;20,00
2021-04-18;27,00;34,00;19,00;2,00;3,00;61,71;54,00;30,86;23,14
2021-04-25;35,00;36,00;21,00;2,00;4,00;73,89;50,56;38,89;19,44
2021-05-02;38,00;38,00;15,00;3,00;3,00;97,11;59,11;33,78;25,33
2021-05-09;42,00;40,00;13,00;5,00;3,00;109,20;58,80;50,40;25,20
2021-05-16;38,00;42,00;33,00;6,00;3,00;126,67;54,89;54,89;25,33
2021-05-23;39,00;57,00;23,00;6,00;3,00;136,50;50,70;54,60;19,50
2021-05-30;37,00;40,00;28,00;6,00;6,00;176,78;53,44;53,44;20,56
2021-06-06;45,00;72,00;32,00;8,00;6,00;171,82;57,27;57,27;20,45
2021-06-13;41,00;78,00;22,00;7,00;5,00;200,90;49,20;49,20;20,50
2021-06-20;36,00;63,00;34,00;8,00;6,00;216,00;48,00;56,00;20,00
2021-06-27;37,00;67,00;30,00;7,00;4,00;238,44;57,56;61,67;20,56
2021-07-04;43,00;79,00;39,00;10,00;5,00;253,70;68,80;60,20;21,50
2021-07-11;44,00;61,00;48,00;11,00;4,00;232,00;88,00;72,00;20,00
2021-07-18;49,00;90,00;43,00;9,00;9,00;277,67;93,92;69,42;20,42
2021-07-25;50,00;82,00;43,00;11,00;7,00;283,33;108,33;70,83;20,83
2021-08-01;58,00;60,00;39,00;10,00;9,00;314,86;120,14;74,57;20,71
2021-08-08;62,00;82,00;40,00;7,00;8,00;413,33;132,27;82,67;20,67
