Semaine;Polynesie (PF);Nouvelle Caledonie (NC);Fidji (FJ);Vanuatu (VU);Iles Cook (CK)
2021-04-11;4,00;1,00;6,00;1,00;0,00
2021-04-18;4,00;0,00;7,00;1,00;0,00
2021-04-25;5,00;1,00;7,00;1,00;0,00
2021-05-02;3,00;1,00;7,00;1,00;1,00
2021-05-09;5,00;2,00;9,00;1,00;2,00
2021-05-16;6,00;1,00;10,00;1,00;1,00
2021-05-23;5,00;0,00;9,00;1,00;1,00
2021-05-30;3,00;1,00;8,00;0,00;1,00
2021-06-06;3,00;0,00;7,00;1,00;1,00
2021-06-13;4,00;1,00;7,00;1,00;0,00
2021-06-20;3,00;1,00;10,00;2,00;0,00
2021-06-27;6,00;0,00;7,00;1,00;0,00
2021-07-04;2,00;2,00;10,00;1,00;0,00
2021-07-11;1,00;0,00;12,00;1,00;1,00
2021-07-18;6,00;1,00;10,00;1,00;1,00
2021-07-25;10,00;0,00;42,00;1,00;1,00
2021-08-01;5,00;1,00;7,00;0,00;0,00
2021-08-08;7,00;1,00;7,00;0,00;0,00
2021-08-15;6,00;2,00;7,00;1,00;1,00
2021-08-22;4,00;0,00;8,00;0,00;0,00
2021-08-29;7,00;1,00;6,00;1,00;1,00
2021-09-05;7,00;2,00;8,00;0,00;1,00
2021-09-12;7,00;0,00;13,00;0,00;0,00
