Campings;FR;BE;CH;DE;ES;IT;NL;GB;US
2020-05-31;6,00;46,00;27,00;18,00;11,00;15,00;168,00;6,00;27,00
2020-06-07;4,00;57,00;32,00;19,00;21,00;8,00;122,00;6,00;24,00
2020-06-14;7,00;52,00;28,00;18,00;24,00;16,33;158,67;7,00;28,00
2020-06-21;7,00;75,00;33,00;21,00;35,00;25,67;170,33;14,00;28,00
2020-06-28;7,00;82,00;43,00;23,00;39,00;25,67;196,00;14,00;28,00
2020-07-05;9,00;82,00;44,00;22,00;47,00;24,75;202,50;18,00;24,75
2020-07-12;8,00;100,00;35,00;22,00;36,00;29,33;266,67;24,00;29,33
2020-07-19;11,00;72,00;40,00;22,00;42,00;22,00;206,80;22,00;22,00
2020-07-26;12,00;93,00;55,00;22,00;46,00;28,80;225,60;24,00;26,40
2020-08-02;13,00;90,00;41,00;26,00;52,00;31,20;231,40;26,00;23,40
2020-08-09;11,00;74,00;40,00;24,00;49,00;26,40;167,20;17,60;19,80
2020-08-16;9,00;51,00;36,00;21,00;40,00;24,75;126,00;15,75;18,00
2020-08-23;6,00;39,00;19,00;16,00;25,00;21,00;120,00;18,00;21,00
2020-08-30;5,00;29,00;23,00;16,00;22,00;12,50;85,00;10,00;20,00
2020-09-06;4,00;25,00;24,00;15,00;15,00;8,00;80,00;10,00;14,00
2020-09-13;3,00;31,00;26,00;14,00;6,00;9,00;84,00;12,00;15,00
2020-09-20;2,00;16,00;14,00;10,00;6,00;4,00;44,00;4,00;10,00
2020-09-27;1,00;12,00;10,00;9,00;9,00;2,00;28,00;4,00;10,00
2020-10-04;1,00;10,00;17,00;7,00;8,00;2,00;28,00;4,00;10,00
2020-10-11;1,00;14,00;6,00;5,00;6,00;2,00;24,00;4,00;8,00
2020-10-18;1,00;18,00;7,00;5,00;3,00;0,50;10,00;2,00;4,00
2020-10-25;0,50;7,00;5,00;3,00;2,00;1,00;10,00;1,00;3,00
2020-11-01;1,00;4,00;4,00;1,00;3,00;1,00;18,00;2,00;4,00
2020-11-08;1,00;7,00;5,00;2,00;2,00;1,00;20,00;2,00;4,00
2020-11-15;0,50;5,00;4,00;2,00;4,00;0,50;11,00;1,00;2,00
2020-11-22;1,00;10,00;4,00;2,00;2,00;1,00;14,00;2,00;4,00
2020-11-29;0,50;7,00;4,00;2,00;2,00;0,50;10,00;1,00;2,00
2020-12-06;0,50;10,00;3,00;2,00;3,00;0,50;7,00;1,00;2,00
2020-12-13;1,00;7,00;2,00;2,00;2,00;1,00;16,00;2,00;4,00
2020-12-20;0,50;7,00;2,00;3,00;3,00;1,00;10,00;1,00;2,00
2020-12-27;1,00;12,00;5,00;5,00;3,00;1,00;28,00;2,00;6,00
2021-01-03;1,00;7,00;7,00;4,00;3,00;1,00;20,00;1,00;3,00
2021-01-10;1,00;11,00;3,00;4,00;1,00;0,50;20,00;1,00;3,00
2021-01-17;1,00;10,00;7,00;4,00;2,00;4,00;36,00;2,00;4,00
2021-01-24;1,00;8,00;7,00;5,00;3,00;2,00;24,00;4,00;6,00
2021-01-31;1,00;14,00;9,00;4,00;2,00;1,00;17,00;2,00;3,00
2021-02-07;1,00;11,00;10,00;4,00;3,00;1,00;11,00;1,00;3,00
2021-02-14;1,00;15,00;5,00;4,00;5,00;1,00;42,00;2,00;6,00
2021-02-21;2,00;13,00;9,00;4,00;4,00;2,00;50,00;6,00;8,00
2021-02-28;2,00;19,00;10,00;4,00;9,00;2,00;52,00;4,00;8,00
2021-03-07;2,00;18,00;12,00;6,00;10,00;2,00;58,00;4,00;8,00
2021-03-14;2,00;22,00;11,00;6,00;10,00;4,00;48,00;4,00;10,00
2021-03-21;2,00;19,00;16,00;5,00;15,00;2,00;68,00;4,00;10,00
2021-03-28;2,00;24,00;18,00;4,00;19,00;2,00;58,00;4,00;10,00
2021-04-04;2,00;33,00;22,00;5,00;9,00;4,00;64,00;6,00;10,00
2021-04-11;2,00;31,00;19,00;3,00;9,00;4,00;66,00;6,00;10,00
2021-04-18;3,00;30,00;28,00;5,00;9,00;9,00;114,00;9,00;15,00
2021-04-25;4,00;34,00;21,00;6,00;13,00;6,00;96,00;8,00;12,00
2021-05-02;4,00;39,00;26,00;10,00;14,00;6,00;108,00;8,00;12,00
2021-05-09;7,00;39,00;31,00;14,00;19,00;7,00;123,67;11,67;14,00
2021-05-16;5,00;30,00;26,00;17,00;20,00;15,00;110,00;10,00;17,50
2021-05-23;5,00;48,00;35,00;21,00;24,00;15,00;135,00;15,00;20,00
2021-05-30;4,00;45,00;31,00;18,00;28,00;14,00;112,00;12,00;16,00
2021-06-06;6,00;57,00;37,00;18,00;35,00;24,00;198,00;18,00;24,00
2021-06-13;9,00;48,00;29,00;19,00;26,00;18,00;137,25;13,50;18,00
2021-06-20;5,00;47,00;29,00;17,00;35,00;17,50;157,50;12,50;22,50
2021-06-27;7,00;40,00;29,00;19,00;37,00;21,00;135,33;14,00;18,67
2021-07-04;9,00;70,00;35,00;20,00;44,00;18,00;164,25;13,50;18,00
2021-07-11;11,00;77,00;44,00;22,00;38,00;22,00;233,75;19,25;22,00
2021-07-18;11,00;85,00;62,00;23,00;43,00;22,00;258,50;22,00;22,00
2021-07-25;11,00;47,00;35,00;24,00;45,00;24,75;255,75;19,25;19,25
2021-08-01;19,00;63,00;43,00;24,00;47,00;27,14;214,43;19,00;19,00
2021-08-08;14,00;57,00;36,00;23,00;47,00;28,00;207,67;14,00;14,00
2021-08-15;10,00;48,00;25,00;20,00;52,00;27,50;155,00;15,00;12,50
2021-08-22;10,00;31,00;23,00;20,00;37,00;20,00;137,50;12,50;12,50
2021-08-29;6,00;24,00;23,00;17,00;25,00;18,00;132,00;15,00;15,00
2021-09-05;5,00;24,00;8,00;13,00;13,00;10,00;87,50;10,00;12,50
2021-09-12;5,00;29,00;17,00;12,00;11,00;10,00;65,00;7,50;10,00
