Tout_inclus;FR;BE;CH;DE;ES;IT;NL;GB;US
2020-02-23;51,00;39,00;28,00;22,00;7,00;13,22;41,56;94,44;66,11
2020-03-01;35,00;22,00;17,00;22,00;10,00;7,78;35,00;85,56;58,33
2020-03-08;27,00;21,00;16,00;18,00;5,00;3,86;23,14;65,57;57,86
2020-03-15;5,00;7,00;6,00;9,00;4,00;3,33;8,33;26,67;25,00
2020-03-22;13,00;2,00;12,00;8,00;2,00;3,71;11,14;33,43;22,29
2020-03-29;11,00;7,00;10,00;8,00;3,00;5,50;7,33;27,50;23,83
2020-04-05;8,00;4,00;4,00;6,00;3,00;4,00;12,00;48,00;26,00
2020-04-12;11,00;9,00;11,00;9,00;2,00;5,50;11,00;40,33;25,67
2020-04-19;11,00;15,00;13,00;8,00;2,00;5,50;5,50;31,17;23,83
2020-04-26;5,00;16,00;10,00;7,00;3,00;3,33;10,00;28,33;20,00
2020-05-03;9,00;10,00;4,00;9,00;2,00;1,80;5,40;36,00;25,20
2020-05-10;10,00;15,00;10,00;10,00;1,00;4,00;12,00;42,00;32,00
2020-05-17;12,00;5,00;11,00;9,00;3,00;8,00;20,00;42,00;30,00
2020-05-24;15,00;10,00;13,00;15,00;5,00;9,38;18,75;48,75;30,00
2020-05-31;28,00;19,00;17,00;15,00;4,00;14,00;32,00;50,00;34,00
2020-06-07;24,00;15,00;21,00;17,00;4,00;16,62;22,15;42,46;38,77
2020-06-14;29,00;8,00;17,00;17,00;8,00;23,20;27,07;50,27;38,67
2020-06-21;32,00;30,00;11,00;17,00;8,00;33,88;26,35;71,53;41,41
2020-06-28;35,00;28,00;24,00;22,00;6,00;31,11;35,00;64,17;35,00
2020-07-05;35,00;31,00;16,00;20,00;11,00;38,89;48,61;60,28;35,00
2020-07-12;29,00;15,00;26,00;22,00;7,00;32,87;40,60;71,53;34,80
2020-07-19;28,00;16,00;22,00;17,00;5,00;28,00;41,07;74,67;35,47
2020-07-26;29,00;16,00;10,00;15,00;10,00;32,87;40,60;67,67;36,73
2020-08-02;32,00;19,00;21,00;15,00;12,00;33,88;35,76;67,76;35,76
2020-08-09;29,00;22,00;16,00;16,00;12,00;30,93;32,87;65,73;38,67
2020-08-16;24,00;14,00;11,00;18,00;11,00;25,85;24,00;62,77;36,92
2020-08-23;27,00;14,00;11,00;16,00;7,00;13,50;32,79;65,57;34,71
2020-08-30;23,00;11,00;13,00;14,00;8,00;15,33;26,83;61,33;36,42
2020-09-06;22,00;4,00;18,00;12,00;8,00;8,00;32,00;54,00;42,00
2020-09-13;17,00;6,00;39,00;12,00;4,00;5,67;22,67;51,00;37,78
2020-09-20;21,00;2,00;13,00;13,00;4,00;3,82;21,00;45,82;38,18
2020-09-27;16,00;9,00;20,00;9,00;3,00;4,00;12,00;48,00;42,00
2020-10-04;12,00;4,00;16,00;10,00;3,00;3,43;12,00;41,14;37,71
2020-10-11;16,00;10,00;14,00;8,00;2,00;2,00;10,00;52,00;42,00
2020-10-18;17,00;6,00;9,00;8,00;2,00;1,89;11,33;47,22;41,56
2020-10-25;10,00;2,00;7,00;4,00;0,00;2,00;8,00;46,00;38,00
2020-11-01;8,00;2,00;15,00;2,00;0,50;4,00;14,00;28,00;36,00
2020-11-08;8,00;13,00;9,00;9,00;2,00;4,00;16,00;42,00;42,00
2020-11-15;13,00;7,00;5,00;6,00;3,00;1,86;16,71;40,86;37,14
2020-11-22;14,00;7,00;11,00;5,00;1,00;4,00;14,00;50,00;38,00
2020-11-29;11,00;4,00;9,00;5,00;1,00;3,67;12,83;40,33;40,33
2020-12-06;17,00;5,00;9,00;4,00;3,00;1,89;15,11;41,56;39,67
2020-12-13;21,00;15,00;2,00;5,00;2,00;3,82;7,64;34,36;42,00
2020-12-20;13,00;10,00;13,00;5,00;3,00;3,71;13,00;31,57;44,57
2020-12-27;32,00;18,00;21,00;11,00;3,00;7,53;13,18;50,82;56,47
2021-01-03;34,00;13,00;20,00;10,00;1,00;7,56;20,78;39,67;64,22
2021-01-10;19,00;20,00;16,00;7,00;1,00;3,80;15,20;39,90;64,60
2021-01-17;21,00;5,00;9,00;7,00;2,00;5,73;9,55;40,09;61,09
2021-01-24;17,00;9,00;22,00;9,00;2,00;5,67;13,22;32,11;52,89
2021-01-31;16,00;13,00;13,00;9,00;4,00;6,00;12,00;26,00;54,00
2021-02-07;18,00;16,00;18,00;8,00;1,00;4,00;8,00;34,00;58,00
2021-02-14;19,00;9,00;14,00;7,00;6,00;5,70;15,20;38,00;66,50
2021-02-21;18,00;15,00;14,00;11,00;2,00;6,00;14,00;52,00;78,00
2021-02-28;22,00;9,00;16,00;7,00;4,00;8,00;26,00;38,00;76,00
2021-03-07;25,00;7,00;11,00;9,00;5,00;5,77;15,38;42,31;82,69
2021-03-14;21,00;2,00;16,00;9,00;5,00;5,73;24,82;43,91;84,00
2021-03-21;21,00;4,00;7,00;7,00;5,00;9,55;19,09;30,55;82,09
2021-03-28;12,00;10,00;15,00;9,00;5,00;12,00;12,00;27,43;70,29
2021-04-04;23,00;4,00;19,00;8,00;3,00;15,33;11,50;24,92;88,17
2021-04-11;19,00;24,00;16,00;7,00;2,00;13,30;15,20;24,70;85,50
2021-04-18;28,00;19,00;16,00;6,00;4,00;13,07;18,67;28,00;76,53
2021-04-25;25,00;35,00;13,00;10,00;6,00;19,23;21,15;30,77;76,92
2021-05-02;39,00;28,00;9,00;13,00;8,00;17,55;19,50;40,95;76,05
2021-05-09;48,00;41,00;23,00;19,00;10,00;21,12;19,20;32,64;80,64
2021-05-16;41,00;32,00;29,00;26,00;12,00;24,23;35,41;33,55;76,41
2021-05-23;45,00;36,00;30,00;36,00;11,00;26,25;31,88;28,13;76,88
2021-05-30;52,00;59,00;46,00;39,00;13,00;44,30;53,93;36,59;84,74
2021-06-06;45,00;28,00;39,00;38,00;15,00;33,75;50,63;33,75;80,63
2021-06-13;56,00;48,00;37,00;39,00;10,00;38,62;54,07;30,90;81,10
2021-06-20;61,00;39,00;34,00;43,00;15,00;38,13;64,81;41,94;81,97
2021-06-27;59,00;53,00;32,00;37,00;15,00;49,48;64,71;36,16;78,03
2021-07-04;53,00;60,00;38,00;35,00;15,00;45,43;62,46;45,43;79,50
2021-07-11;43,00;31,00;27,00;35,00;17,00;35,18;39,09;52,77;82,09
2021-07-18;46,00;44,00;43,00;31,00;15,00;28,75;57,50;53,67;72,83
2021-07-25;47,00;55,00;37,00;30,00;18,00;30,08;65,80;50,76;67,68
2021-08-01;53,00;51,00;36,00;38,00;16,00;34,07;81,39;68,14;60,57
2021-08-08;51,00;50,00;42,00;38,00;17,00;31,38;68,65;66,69;58,85
2021-08-15;52,00;37,00;10,00;31,00;15,00;40,44;77,04;57,78;50,07
2021-08-22;44,00;46,00;36,00;27,00;12,00;22,96;72,70;59,30;47,83
2021-08-29;35,00;41,00;25,00;28,00;13,00;17,50;56,39;56,39;50,56
2021-09-05;38,00;29,00;20,00;27,00;10,00;13,30;53,20;64,60;51,30
2021-09-12;43,00;30,00;19,00;34,00;10,00;9,35;50,48;63,57;46,74
