Residence_tourisme;FR;BE;CH;DE;ES;IT;NL;GB;US
2021-05-16;42,00;9,00;23,00;14,00;53,00;11,00;5,00;24,00;10,00
2021-05-23;43,00;5,00;6,00;23,00;44,00;8,00;10,00;9,00;8,00
2021-05-30;37,00;25,00;12,00;19,00;42,00;8,00;18,00;11,00;9,00
2021-06-06;63,00;15,00;0,00;22,00;53,00;13,00;10,00;14,00;8,00
2021-06-13;51,00;19,00;12,00;24,00;42,00;8,00;17,00;15,00;10,00
2021-06-20;37,00;15,00;12,00;11,00;63,00;20,00;20,00;14,00;7,00
2021-06-27;39,00;25,00;18,00;15,00;63,00;15,00;30,00;11,00;9,00
2021-07-04;73,00;42,00;19,00;30,00;65,00;13,00;18,00;17,00;8,00
2021-07-11;72,00;11,00;32,00;21,00;62,00;11,00;8,00;21,00;8,00
2021-07-18;45,00;18,00;7,00;12,00;67,00;12,00;8,00;6,00;9,00
2021-07-25;50,00;28,00;28,00;11,00;54,00;11,00;38,00;16,00;7,00
2021-08-01;85,00;33,00;27,00;29,00;65,00;16,00;6,00;25,00;8,00
2021-08-08;69,00;28,00;34,00;29,00;64,00;17,00;12,00;20,00;7,00
2021-08-15;41,00;5,00;19,00;17,00;75,00;23,00;17,00;17,00;7,00
2021-08-22;46,00;23,00;40,00;14,00;41,00;5,00;9,00;14,00;7,00
2021-08-29;29,00;6,00;20,00;15,00;45,00;5,00;8,00;12,00;8,00
2021-09-05;39,00;29,00;20,00;13,00;35,00;5,00;14,00;10,00;6,00
2021-09-12;32,00;26,00;36,00;13,00;24,00;11,00;16,00;17,00;8,00
