Croisiere;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-06-23;43,00;15,00;40,00;48,00;3,00;95,71;2,77;5,55;4,16
2019-06-30;42,00;15,00;35,00;57,00;4,00;108,39;4,06;4,06;2,71
2019-07-07;52,00;7,00;73,00;73,00;5,00;128,63;5,47;8,21;5,47
2019-07-14;57,00;14,00;66,00;61,00;1,00;108,57;2,71;4,07;2,71
2019-07-21;46,00;13,00;48,00;52,00;4,00;108,24;2,71;5,41;5,41
2019-07-28;48,00;25,00;58,00;59,00;2,00;116,57;4,11;8,23;4,11
2019-08-04;60,00;17,00;55,00;70,00;4,00;136,36;2,73;6,82;4,09
2019-08-11;55,00;15,00;60,00;72,00;3,00;123,75;2,75;6,88;4,13
2019-08-18;49,00;14,00;45,00;67,00;4,00;117,06;4,08;8,17;4,08
2019-08-25;46,00;13,00;43,00;60,00;2,00;92,00;2,71;8,12;4,06
2019-09-01;47,00;8,00;48,00;60,00;3,00;100,91;5,53;5,53;4,15
2019-09-08;41,00;5,00;67,00;51,00;3,00;77,90;1,37;4,10;2,73
2019-09-15;39,00;18,00;45,00;60,00;3,00;71,28;4,03;6,72;4,03
2019-09-22;39,00;18,00;46,00;55,00;2,00;78,00;4,03;6,72;4,03
2019-09-29;41,00;17,00;41,00;49,00;4,00;61,50;4,10;5,47;2,73
2019-10-06;32,00;14,00;53,00;57,00;4,00;70,96;4,17;8,35;4,17
2019-10-13;34,00;12,00;41,00;56,00;3,00;65,28;2,72;5,44;4,08
2019-10-20;34,00;12,00;36,00;53,00;3,00;61,20;5,44;4,08;2,72
2019-10-27;36,00;11,00;37,00;53,00;4,00;54,67;2,67;4,00;2,67
2019-11-03;31,00;15,00;62,00;54,00;2,00;64,70;2,70;4,04;2,70
2019-11-10;31,00;17,00;28,00;50,00;2,00;53,91;1,35;4,04;2,70
2019-11-17;30,00;17,00;31,00;53,00;2,00;49,09;2,73;5,45;4,09
2019-11-24;27,00;7,00;29,00;39,00;2,00;45,90;2,70;4,05;4,05
2019-12-01;23,00;3,00;34,00;42,00;2,00;41,94;2,71;5,41;4,06
2019-12-08;28,00;9,00;19,00;45,00;3,00;41,33;2,67;4,00;4,00
2019-12-15;28,00;16,00;25,00;49,00;1,00;46,20;5,60;11,20;11,20
2019-12-22;34,00;11,00;47,00;83,00;2,00;77,52;1,36;8,16;9,52
2019-12-29;47,00;16,00;82,00;91,00;2,00;79,23;4,03;6,71;5,37
2020-01-05;60,00;10,00;68,00;86,00;3,00;80,45;1,36;6,82;5,45
2020-01-12;47,00;17,00;60,00;82,00;1,00;79,23;4,03;4,03;6,71
2020-01-19;50,00;19,00;49,00;72,00;1,00;79,73;2,70;5,41;6,76
2020-01-26;50,00;20,00;69,00;63,00;2,00;93,06;1,39;9,72;8,33
2020-02-02;45,00;9,00;65,00;65,00;3,00;58,64;4,09;8,18;9,55
2020-02-09;39,00;13,00;39,00;59,00;3,00;57,11;0,00;8,36;11,14
2020-02-16;43,00;18,00;36,00;54,00;1,00;55,09;2,69;10,75;9,41
2020-02-23;34,00;7,00;36,00;53,00;2,00;55,76;2,72;8,16;8,16
2020-03-01;33,00;13,00;41,00;54,00;2,00;42,63;2,75;9,63;11,00
2020-03-08;35,00;11,00;48,00;100,00;4,00;24,23;5,38;13,46;17,50
2020-03-15;15,00;8,00;19,00;48,00;2,00;21,82;1,36;9,55;6,82
2020-03-22;14,00;7,00;12,00;28,00;1,00;16,80;1,40;5,60;7,00
2020-03-29;16,00;7,00;11,00;31,00;1,00;14,67;2,67;5,33;12,00
2020-04-05;13,00;6,00;15,00;28,00;1,00;13,00;1,30;3,90;3,90
2020-04-12;13,00;5,00;13,00;29,00;0,50;20,22;2,89;2,89;4,33
2020-04-19;18,00;5,00;6,00;24,00;0,50;13,85;0,00;4,15;4,15
2020-04-26;11,00;7,00;24,00;29,00;1,00;16,50;1,38;4,13;2,75
2020-05-03;13,00;4,00;11,00;27,00;1,00;14,30;0,00;2,60;3,90
2020-05-10;9,00;6,00;19,00;28,00;1,00;16,71;1,29;3,86;2,57
2020-05-17;14,00;3,00;22,00;33,00;1,00;16,80;1,40;4,20;2,80
2020-05-24;15,00;8,00;10,00;30,00;0,50;19,09;1,36;2,73;2,73
2020-05-31;21,00;7,00;25,00;33,00;1,00;21,00;0,70;4,20;2,80
2020-06-07;17,00;10,00;19,00;39,00;1,00;25,50;0,71;4,25;2,83
2020-06-14;40,00;6,00;19,00;35,00;0,50;25,33;1,33;4,00;2,67
2020-06-21;40,00;11,00;20,00;30,00;2,00;28,97;1,38;2,76;2,76
2020-06-28;23,00;8,00;25,00;40,00;0,00;39,24;0,68;6,76;2,71
2020-07-05;27,00;4,00;30,00;38,00;1,00;28,35;0,68;4,05;4,05
2020-07-12;28,00;4,00;18,00;26,00;1,00;28,00;6,67;4,00;2,67
2020-07-19;27,00;11,00;29,00;26,00;1,00;31,26;4,26;5,68;4,26
2020-07-26;34,00;4,00;19,00;30,00;0,50;38,08;4,08;4,08;2,72
2020-08-02;33,00;9,00;27,00;32,00;1,00;46,75;2,75;5,50;4,13
2020-08-09;32,00;5,00;26,00;24,00;1,00;40,00;2,67;5,33;4,00
2020-08-16;26,00;4,00;13,00;21,00;1,00;46,53;2,74;5,47;4,11
2020-08-23;30,00;14,00;15,00;24,00;1,00;32,73;2,73;4,09;2,73
2020-08-30;19,00;4,00;22,00;18,00;0,50;27,14;1,36;4,07;2,71
2020-09-06;19,00;8,00;18,00;17,00;1,00;25,79;1,36;5,43;2,71
2020-09-13;17,00;8,00;15,00;19,00;0,00;21,25;0,00;4,25;2,83
2020-09-20;12,00;4,00;8,00;17,00;2,00;25,33;2,67;5,33;2,67
2020-09-27;11,00;7,00;9,00;19,00;0,00;23,38;1,38;4,13;2,75
2020-10-04;15,00;7,00;21,00;17,00;0,50;17,73;2,73;5,45;2,73
2020-10-11;13,00;4,00;13,00;14,00;2,00;18,20;1,30;3,90;2,60
2020-10-18;12,00;4,00;16,00;19,00;1,00;16,00;2,67;5,33;2,67
2020-10-25;15,00;1,00;14,00;14,00;0,50;12,27;1,36;2,73;2,73
2020-11-01;9,00;8,00;6,00;16,00;0,50;15,43;1,29;2,57;2,57
2020-11-08;11,00;4,00;10,00;17,00;0,50;17,88;1,38;2,75;4,13
2020-11-15;8,00;10,00;9,00;16,00;0,00;14,67;2,67;2,67;4,00
2020-11-22;10,00;4,00;7,00;17,00;1,00;15,71;1,43;2,86;2,86
2020-11-29;12,00;1,00;13,00;14,00;1,00;16,00;2,67;4,00;2,67
2020-12-06;11,00;6,00;7,00;17,00;1,00;13,75;0,00;2,75;2,75
2020-12-13;9,00;3,00;7,00;12,00;1,00;18,00;1,50;3,00;4,50
2020-12-20;11,00;9,00;6,00;23,00;1,00;13,75;2,75;5,50;4,13
2020-12-27;13,00;6,00;12,00;31,00;0,50;19,50;2,60;5,20;3,90
2021-01-03;15,00;3,00;19,00;22,00;0,00;21,82;2,73;2,73;4,09
2021-01-10;9,00;1,00;12,00;14,00;1,00;18,00;0,00;5,14;2,57
2021-01-17;14,00;3,00;17,00;20,00;1,00;21,00;2,80;4,20;2,80
2021-01-24;11,00;4,00;10,00;20,00;1,00;23,38;1,38;4,13;2,75
2021-01-31;13,00;6,00;10,00;17,00;1,00;22,10;2,60;2,60;2,60
2021-02-07;9,00;0,00;13,00;17,00;1,00;15,43;1,29;3,86;2,57
2021-02-14;16,00;4,00;12,00;17,00;0,00;18,67;0,00;2,67;4,00
2021-02-21;16,00;6,00;23,00;21,00;1,00;18,67;2,67;2,67;2,67
2021-02-28;11,00;4,00;17,00;18,00;0,00;23,38;1,38;1,38;2,75
2021-03-07;16,00;8,00;15,00;18,00;0,50;24,00;2,67;4,00;2,67
2021-03-14;7,00;9,00;5,00;14,00;1,00;21,00;0,70;2,80;2,80
2021-03-21;9,00;0,00;9,00;13,00;1,00;23,14;3,86;2,57;3,86
2021-03-28;9,00;1,00;11,00;17,00;2,00;28,29;0,00;1,29;2,57
2021-04-04;13,00;13,00;18,00;20,00;0,50;27,30;2,60;2,60;3,90
2021-04-11;11,00;10,00;24,00;18,00;0,50;31,63;1,38;2,75;4,13
2021-04-18;13,00;4,00;3,00;19,00;1,00;29,90;0,00;1,30;2,60
2021-04-25;12,00;6,00;24,00;20,00;0,50;33,33;0,00;1,33;2,67
2021-05-02;17,00;7,00;25,00;22,00;2,00;43,15;0,00;2,62;3,92
2021-05-09;25,00;7,00;12,00;26,00;1,00;39,47;0,00;2,63;3,95
2021-05-16;17,00;7,00;17,00;30,00;2,00;53,62;1,31;2,62;3,92
2021-05-23;27,00;12,00;28,00;34,00;1,00;52,65;1,35;2,70;4,05
2021-05-30;24,00;9,00;16,00;36,00;0,50;62,67;2,67;2,67;4,00
2021-06-06;26,00;10,00;38,00;35,00;1,00;73,89;2,74;4,11;5,47
2021-06-13;23,00;8,00;16,00;34,00;1,00;60,88;1,35;1,35;5,41
2021-06-20;23,00;11,00;22,00;34,00;1,00;66,29;2,71;2,71;4,06
2021-06-27;29,00;6,00;30,00;33,00;2,00;73,82;3,95;3,95;3,95
2021-07-04;32,00;5,00;18,00;36,00;1,00;72,00;2,67;5,33;4,00
2021-07-11;31,00;9,00;20,00;36,00;2,00;66,04;2,70;4,04;4,04
2021-07-18;41,00;7,00;41,00;39,00;1,00;61,50;1,37;4,10;4,10
2021-07-25;35,00;16,00;38,00;43,00;1,00;64,62;4,04;6,73;4,04
2021-08-01;39,00;8,00;40,00;47,00;2,00;61,86;2,69;4,03;4,03
2021-08-08;48,00;4,00;16,00;43,00;3,00;76,80;1,37;4,11;4,11
