Ski;FR;BE;CH;DE;ES;IT;NL;GB;US
2020-01-26;70,00;56,76;96,49;17,03;56,76;21,00;32,00;24,00;12,00
2020-02-02;72,00;43,58;89,05;15,16;49,26;20,00;41,00;24,00;13,00
2020-02-09;73,00;37,44;110,44;13,10;43,05;22,00;35,00;22,00;13,00
2020-02-16;72,00;53,05;92,84;15,16;34,11;22,00;41,00;25,00;14,00
2020-02-23;60,00;39,38;71,25;13,13;31,88;17,00;31,00;29,00;11,00
2020-03-01;49,00;39,58;56,54;11,31;30,15;17,00;33,00;18,00;10,00
2020-03-08;71,00;108,37;102,76;16,82;24,29;9,00;57,00;35,00;9,00
2020-03-15;23,00;28,75;7,67;3,83;3,83;2,00;6,00;13,00;6,00
2020-03-22;4,00;6,00;2,00;1,00;6,00;2,00;2,00;3,00;3,00
2020-03-29;5,00;2,50;10,00;2,50;5,00;2,00;2,00;3,00;2,00
2020-04-05;4,00;4,00;4,00;2,00;4,00;2,00;0,50;5,00;2,00
2020-04-12;4,00;4,00;6,00;1,00;6,00;1,00;3,00;4,00;2,00
2020-04-19;3,00;9,00;6,00;1,50;9,00;1,00;3,00;3,00;2,00
2020-04-26;4,00;2,00;6,00;2,00;4,00;2,00;2,00;4,00;2,00
2020-05-03;3,00;9,00;9,00;1,50;6,00;2,00;2,00;5,00;2,00
2020-05-10;4,00;2,00;4,00;2,00;4,00;2,00;2,00;3,00;2,00
2020-05-17;2,00;4,00;6,00;2,00;4,00;0,50;2,00;3,00;2,00
2020-05-24;4,00;6,00;8,00;2,00;4,00;2,00;2,00;3,00;2,00
2020-05-31;6,00;2,00;4,00;2,00;2,00;2,00;3,00;4,00;2,00
2020-06-07;4,00;4,00;4,00;2,00;4,00;3,00;4,00;4,00;2,00
2020-06-14;6,00;2,00;4,00;2,00;4,00;2,00;4,00;4,00;3,00
2020-06-21;5,00;5,00;1,67;1,67;3,33;3,00;4,00;4,00;3,00
2020-06-28;5,00;5,00;5,00;1,67;5,00;3,00;2,00;5,00;3,00
2020-07-05;7,00;3,50;3,50;1,75;7,00;4,00;5,00;4,00;3,00
2020-07-12;7,00;5,25;5,25;1,75;5,25;3,00;4,00;3,00;3,00
2020-07-19;8,00;2,00;10,00;2,00;4,00;4,00;4,00;5,00;3,00
2020-07-26;7,00;3,50;5,25;1,75;3,50;2,00;5,00;4,00;3,00
2020-08-02;10,00;4,00;14,00;2,00;8,00;4,00;4,00;6,00;3,00
2020-08-09;10,00;4,00;10,00;2,00;6,00;4,00;4,00;4,00;3,00
2020-08-16;13,00;5,57;13,00;0,93;7,43;4,00;4,00;5,00;3,00
2020-08-23;11,00;7,33;12,83;1,83;7,33;4,00;7,00;5,00;3,00
2020-08-30;9,00;9,00;16,20;1,80;5,40;4,00;7,00;6,00;4,00
2020-09-06;12,00;14,00;8,00;2,00;6,00;4,00;7,00;5,00;4,00
2020-09-13;11,00;7,33;7,33;1,83;9,17;4,00;7,00;5,00;4,00
2020-09-20;13,00;5,57;11,14;3,71;7,43;5,00;11,00;5,00;4,00
2020-09-27;16,00;10,00;22,00;4,00;10,00;3,00;7,00;4,00;4,00
2020-10-04;17,00;11,33;15,11;3,78;11,33;6,00;12,00;7,00;5,00
2020-10-11;18,00;5,40;25,20;1,80;12,60;4,00;7,00;4,00;6,00
2020-10-18;18,00;7,20;18,00;3,60;12,60;5,00;7,00;6,00;6,00
2020-10-25;11,00;9,17;18,33;3,67;11,00;7,00;6,00;6,00;6,00
2020-11-01;9,00;9,00;21,60;1,80;14,40;4,00;3,00;4,00;5,00
2020-11-08;12,00;16,00;24,00;2,00;10,00;4,00;10,00;5,00;8,00
2020-11-15;17,00;13,22;24,56;3,78;13,22;4,00;6,00;7,00;8,00
2020-11-22;44,00;28,70;49,74;5,74;19,13;8,00;14,00;9,00;9,00
2020-11-29;32,00;24,47;67,76;7,53;37,65;8,00;16,00;8,00;10,00
2020-12-06;30,00;22,50;86,25;5,63;45,00;9,00;12,00;10,00;11,00
2020-12-13;31,00;13,56;79,44;1,94;32,94;7,00;12,00;9,00;14,00
2020-12-20;34,00;13,22;111,44;7,56;34,00;8,00;13,00;10,00;20,00
2020-12-27;66,00;22,63;154,63;7,54;52,80;13,00;12,00;11,00;25,00
2021-01-03;86,00;20,57;104,70;5,61;63,57;10,00;13,00;9,00;17,00
2021-01-10;46,00;32,58;97,75;7,67;46,00;14,00;15,00;8,00;16,00
2021-01-17;68,00;20,78;96,33;5,67;30,22;8,00;7,00;9,00;15,00
2021-01-24;25,00;19,23;84,62;5,77;15,38;9,00;9,00;8,00;15,00
2021-01-31;34,00;5,67;73,67;3,78;17,00;15,00;11,00;7,00;15,00
2021-02-07;49,00;11,31;94,23;5,65;16,96;20,00;14,00;6,00;15,00
2021-02-14;50,00;14,81;116,67;5,56;18,52;17,00;15,00;9,00;16,00
2021-02-21;32,00;9,41;84,71;1,88;16,94;7,00;9,00;6,00;12,00
2021-02-28;18,00;14,00;54,00;4,00;16,00;3,00;7,00;7,00;9,00
2021-03-07;12,00;10,00;44,00;4,00;14,00;3,00;8,00;6,00;9,00
2021-03-14;12,00;10,00;64,00;2,00;16,00;2,00;7,00;4,00;7,00
2021-03-21;9,00;7,20;48,60;1,80;12,60;3,00;3,00;4,00;6,00
2021-03-28;4,00;2,00;40,00;2,00;12,00;3,00;2,00;3,00;5,00
2021-04-04;3,00;6,00;54,00;3,00;12,00;2,00;4,00;4,00;4,00
2021-04-11;3,00;6,00;24,00;1,50;9,00;2,00;5,00;3,00;4,00
2021-04-18;3,00;3,00;12,00;0,75;4,50;2,00;3,00;3,00;4,00
2021-04-25;2,00;6,00;6,00;1,00;6,00;1,00;4,00;2,00;3,00
2021-05-02;3,00;3,00;4,50;0,75;1,50;1,00;2,00;3,00;4,00
2021-05-09;3,00;0,75;3,00;0,75;4,50;2,00;3,00;3,00;3,00
2021-05-16;4,00;4,00;2,00;1,00;6,00;3,00;4,00;3,00;2,00
2021-05-23;4,00;10,00;6,00;2,00;4,00;2,00;4,00;2,00;3,00
2021-05-30;4,00;2,00;10,00;2,00;4,00;1,00;2,00;3,00;2,00
2021-06-06;4,00;2,00;2,00;1,00;4,00;3,00;3,00;2,00;3,00
2021-06-13;2,00;4,00;4,00;2,00;4,00;2,00;3,00;2,00;3,00
2021-06-20;3,00;3,00;4,50;0,75;3,00;1,00;2,00;2,00;3,00
2021-06-27;3,00;1,50;1,50;1,50;3,00;2,00;5,00;2,00;3,00
2021-07-04;4,00;6,00;8,00;1,00;4,00;2,00;4,00;3,00;4,00
2021-07-11;5,00;3,33;5,00;0,83;5,00;3,00;2,00;3,00;3,00
2021-07-18;6,00;2,00;6,00;2,00;6,00;3,00;4,00;2,00;4,00
2021-07-25;6,00;6,00;6,00;2,00;8,00;5,00;6,00;3,00;4,00
2021-08-01;8,00;10,00;6,00;2,00;6,00;3,00;7,00;3,00;4,00
2021-08-08;6,00;10,00;10,00;2,00;6,00;4,00;5,00;4,00;4,00
