Paris;DE;BE;CH;ES;FR;IT;NL;GB;US
2020-07-05;15,00;65,00;25,00;20,00;315,00;20,00;55,00;19,00;7,00
2020-07-12;14,00;65,33;37,33;14,00;298,67;24,00;53,00;22,00;8,00
2020-07-19;18,00;54,00;27,00;18,00;261,00;21,00;64,00;22,00;8,00
2020-07-26;15,00;70,00;45,00;20,00;300,00;23,00;51,00;20,00;7,00
2020-08-02;16,00;36,00;28,00;16,00;244,00;22,00;44,00;21,00;7,00
2020-08-09;13,00;56,33;30,33;21,67;273,00;26,00;51,00;18,00;8,00
2020-08-16;12,00;40,00;28,00;16,00;224,00;24,00;32,00;12,00;7,00
2020-08-23;12,00;36,00;24,00;16,00;200,00;20,00;31,00;12,00;7,00
2020-08-30;9,00;36,00;27,00;13,50;220,50;22,00;21,00;15,00;8,00
2020-09-06;7,00;24,50;17,50;17,50;178,50;21,00;26,00;14,00;6,00
2020-09-13;9,00;31,50;18,00;22,50;234,00;21,00;25,00;13,00;7,00
2020-09-20;9,00;31,50;31,50;22,50;216,00;34,00;32,00;13,00;6,00
2020-09-27;8,00;20,00;20,00;20,00;176,00;22,00;25,00;12,00;7,00
2020-10-04;6,00;48,00;30,00;30,00;264,00;23,00;28,00;14,00;8,00
2020-10-11;6,00;36,00;30,00;24,00;276,00;22,00;17,00;14,00;8,00
2020-10-18;6,00;42,00;30,00;24,00;264,00;18,00;18,00;11,00;7,00
2020-10-25;5,00;30,00;15,00;15,00;175,00;22,00;16,00;11,00;7,00
2020-11-01;4,00;12,00;8,00;8,00;84,00;40,00;11,00;10,00;5,00
2020-11-08;6,00;24,00;24,00;18,00;132,00;17,00;19,00;12,00;6,00
2020-11-15;6,00;24,00;24,00;18,00;144,00;15,00;16,00;13,00;7,00
2020-11-22;4,00;20,00;20,00;12,00;108,00;16,00;11,00;11,00;6,00
2020-11-29;4,00;16,00;4,00;12,00;116,00;17,00;19,00;12,00;7,00
2020-12-06;8,00;20,00;12,00;12,00;136,00;22,00;14,00;11,00;7,00
2020-12-13;5,00;25,00;20,00;15,00;180,00;13,00;11,00;9,00;7,00
2020-12-20;7,00;17,50;10,50;10,50;129,50;19,00;17,00;13,00;8,00
2020-12-27;5,00;35,00;30,00;15,00;190,00;18,00;16,00;10,00;7,00
2021-01-03;8,00;24,00;12,00;12,00;152,00;17,00;18,00;11,00;7,00
2021-01-10;7,00;24,50;14,00;14,00;129,50;20,00;17,00;11,00;7,00
2021-01-17;6,00;24,00;18,00;18,00;222,00;21,00;17,00;11,00;7,00
2021-01-24;6,00;24,00;24,00;12,00;180,00;15,00;13,00;7,00;7,00
2021-01-31;7,00;21,00;17,50;7,00;108,50;16,00;14,00;7,00;6,00
2021-02-07;5,00;25,00;15,00;15,00;180,00;14,00;13,00;8,00;6,00
2021-02-14;6,00;24,00;42,00;18,00;246,00;13,00;14,00;9,00;7,00
2021-02-21;7,00;17,50;10,50;14,00;126,00;17,00;22,00;10,00;7,00
2021-02-28;6,00;30,00;18,00;18,00;210,00;15,00;12,00;7,00;7,00
2021-03-07;7,00;21,00;21,00;10,50;182,00;17,00;23,00;10,00;8,00
2021-03-14;6,00;30,00;24,00;18,00;216,00;14,00;22,00;10,00;7,00
2021-03-21;6,00;12,00;30,00;18,00;186,00;18,00;13,00;7,00;8,00
2021-03-28;6,00;18,00;12,00;18,00;198,00;15,00;12,00;7,00;8,00
2021-04-04;6,00;30,00;12,00;12,00;162,00;18,00;14,00;7,00;9,00
2021-04-11;6,00;30,00;18,00;12,00;180,00;20,00;17,00;6,00;8,00
2021-04-18;6,00;24,00;12,00;18,00;216,00;17,00;11,00;6,00;8,00
2021-04-25;7,00;17,50;7,00;10,50;122,50;21,00;17,00;7,00;7,00
2021-05-02;4,00;16,00;20,00;16,00;168,00;20,00;22,00;7,00;9,00
2021-05-09;7,00;24,50;14,00;10,50;143,50;17,00;14,00;9,00;9,00
2021-05-16;8,00;28,00;28,00;20,00;188,00;20,00;23,00;7,00;8,00
2021-05-23;10,00;40,00;25,00;20,00;255,00;21,00;24,00;7,00;9,00
2021-05-30;11,00;40,33;22,00;18,33;198,00;30,00;31,00;8,00;9,00
2021-06-06;13,00;43,33;30,33;21,67;255,67;26,00;36,00;6,00;11,00
2021-06-13;12,00;40,00;20,00;24,00;252,00;26,00;39,00;9,00;10,00
2021-06-20;17,00;51,00;38,25;21,25;263,50;29,00;48,00;10,00;11,00
2021-06-27;18,00;49,50;31,50;27,00;283,50;26,00;56,00;9,00;11,00
2021-07-04;22,00;61,60;44,00;22,00;321,20;28,00;54,00;11,00;11,00
2021-07-11;18,00;72,00;45,00;27,00;292,50;26,00;54,00;10,00;11,00
2021-07-18;17,00;59,50;42,50;21,25;276,25;32,00;55,00;9,00;11,00
2021-07-25;20,00;64,00;40,00;28,00;244,00;24,00;58,00;10,00;10,00
2021-08-01;20,00;56,00;40,00;28,00;272,00;29,00;68,00;13,00;9,00
2021-08-08;21,00;67,20;42,00;46,20;298,20;44,00;82,00;20,00;11,00
