Semaine;Nice (FR);reta (SI);Agadir (MA);Djerba (TN);Corfu (GR);Santorini Island (GR);Faro (PT);Bodrum (TR);Mykonos (GR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Cefalù (IT);Fréjus (FR);Amalfi (IT);Cannes (FR);Dubrovnik (HR);Antibes (FR);Le Touquet (BE);Le Barcarès (FR);Deauville (FR);Portofino (IT);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR);Saint Jean de Monts (FR);Plage de la Palmyre (FR)
2019-12-15;28,00;8,00;12,00;3,82;16,55;40,44;37,33;0,00;9,33;46,67;0,00;20,00;16,00;0,00;4,00;16,55;0,00;7,64;3,82;0,00;82,44;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-22;26,00;4,00;18,00;13,62;13,62;49,11;11,56;17,33;26,00;104,00;8,67;4,00;4,00;4,00;0,00;17,33;4,95;26,00;4,95;0,00;149,88;0,00;13,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-29;30,00;13,00;9,00;0,00;3,75;60,00;21,00;7,50;22,50;90,00;0,00;26,00;4,00;0,00;0,00;17,50;3,75;8,75;3,75;0,00;157,89;0,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00
2020-01-05;27,00;8,00;35,00;11,05;23,32;96,00;15,00;0,00;36,00;63,00;9,00;8,00;4,00;8,00;0,00;11,05;11,05;19,64;3,68;0,00;37,50;3,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-01-12;43,00;4,00;43,00;11,06;49,14;73,71;43,00;0,00;25,80;77,40;0,00;0,00;4,00;0,00;4,00;14,74;3,69;11,06;3,69;0,00;3,07;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-01-19;29,00;11,00;22,00;11,35;7,57;119,22;19,33;7,25;21,75;65,25;0,00;7,00;11,00;0,00;0,00;15,13;3,78;32,78;7,57;0,00;3,22;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-01-26;37,00;7,00;15,00;0,00;29,60;117,17;30,83;14,80;22,20;44,40;3,70;15,00;4,00;11,00;0,00;14,80;3,70;37,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-02-02;22,00;0,00;4,00;11,00;11,00;75,43;22,00;3,67;7,33;51,33;7,33;30,00;0,00;19,00;4,00;25,67;7,33;11,00;3,67;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-02-09;71,00;7,00;4,00;18,68;37,37;92,61;15,43;15,78;31,56;47,33;3,94;15,00;0,00;11,00;4,00;11,21;0,00;29,89;0,00;0,00;0,00;3,16;4,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00
2020-02-16;30,00;7,00;15,00;11,25;26,25;69,00;30,00;3,75;22,50;75,00;7,50;7,00;0,00;7,00;4,00;11,25;0,00;30,00;0,00;0,00;7,89;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
