Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Zermatt (CH);Flachau (AT);La Clusaz (FR);Verbier (CH);Zillertal (AT);Morzine (FR);Châtel (FR);St Moritz (DE);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Gstaad (CH);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-07-07;38,00;4,00;8,00;4,00;0,00;4,00;0,00;4,00;0,00;4,47;0,00;0,00;26,82;0,00;4,00;4,00;11,00;0,00;0,00;73,89;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;4,00;4,00;0,00;0,00;8,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-14;35,00;4,00;0,00;16,00;4,00;4,00;4,00;4,00;0,00;0,00;0,00;8,75;30,63;4,00;0,00;4,00;8,00;4,12;0,00;65,88;4,12;4,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;8,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00
2019-07-21;55,00;20,00;20,00;28,00;4,00;12,00;0,00;4,00;0,00;0,00;0,00;4,40;220,00;8,00;0,00;0,00;16,00;0,00;0,00;63,15;4,07;0,00;4,00;4,00;4,00;4,00;4,00;0,00;8,00;0,00;8,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-28;36,00;0,00;0,00;0,00;8,00;4,00;0,00;0,00;0,00;0,00;0,00;11,25;36,00;4,00;4,00;0,00;4,00;0,00;0,00;78,35;4,24;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;28,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-08-04;29,00;0,00;0,00;12,00;0,00;4,00;4,00;8,00;0,00;0,00;0,00;8,92;24,54;0,00;0,00;4,00;4,00;0,00;0,00;49,71;0,00;0,00;4,00;0,00;4,00;4,00;0,00;4,00;4,00;4,00;8,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-08-11;43,00;0,00;0,00;17,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;12,90;38,70;0,00;0,00;4,00;0,00;8,19;0,00;88,05;0,00;4,00;4,00;4,00;4,00;0,00;4,00;0,00;0,00;4,00;17,00;4,00;0,00;0,00;0,00;4,00;4,00;4,00;0,00;0,00;0,00;0,00
2019-08-18;24,00;4,00;0,00;8,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;43,64;0,00;0,00;0,00;4,00;0,00;4,00;72,00;0,00;0,00;8,00;0,00;4,00;0,00;4,00;0,00;4,00;12,00;4,00;0,00;4,00;4,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00
2019-08-25;37,00;0,00;0,00;4,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;6,53;28,29;4,00;4,00;0,00;4,00;0,00;0,00;69,89;4,11;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-01;35,00;0,00;4,00;14,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;24,06;4,00;0,00;7,00;0,00;4,12;0,00;53,53;0,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;4,00;0,00;4,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-08;37,00;4,00;4,00;4,00;4,00;0,00;0,00;4,00;0,00;6,53;0,00;4,35;17,41;4,00;0,00;4,00;7,00;0,00;0,00;51,39;0,00;0,00;4,00;0,00;0,00;0,00;0,00;4,00;7,00;4,00;11,00;7,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-15;25,00;4,00;4,00;4,00;7,00;0,00;4,00;0,00;0,00;0,00;4,55;0,00;22,73;0,00;0,00;7,00;7,00;4,17;0,00;39,58;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;4,00;4,00;0,00;7,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00
2019-09-22;25,00;4,00;0,00;4,00;4,00;0,00;0,00;7,00;0,00;4,55;0,00;0,00;34,09;4,00;0,00;7,00;0,00;4,17;0,00;54,17;4,17;0,00;0,00;0,00;0,00;0,00;0,00;4,00;7,00;4,00;4,00;0,00;0,00;4,00;0,00;7,00;4,00;0,00;0,00;0,00;0,00;0,00
2019-09-29;35,00;0,00;0,00;11,00;4,00;4,00;0,00;4,00;4,00;0,00;0,00;6,56;28,44;4,00;0,00;0,00;7,00;6,18;4,12;47,35;0,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00
2019-10-06;18,00;0,00;7,00;15,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;6,75;22,50;0,00;0,00;7,00;11,00;8,00;0,00;40,00;4,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00;4,00;4,00;11,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-10-13;18,00;4,00;7,00;0,00;7,00;4,00;4,00;0,00;0,00;0,00;0,00;4,50;18,00;0,00;0,00;7,00;0,00;4,00;0,00;50,00;0,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00
2019-10-20;24,00;3,00;3,00;24,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00;6,55;17,45;0,00;0,00;3,00;17,00;0,00;0,00;34,00;0,00;0,00;0,00;3,00;0,00;3,00;0,00;0,00;0,00;0,00;3,00;0,00;3,00;3,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00
2019-10-27;32,00;0,00;0,00;14,00;4,00;0,00;0,00;0,00;0,00;0,00;6,86;4,57;18,29;0,00;0,00;11,00;7,00;4,00;0,00;38,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00;4,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-11-03;31,00;3,00;3,00;3,00;3,00;10,00;3,00;0,00;0,00;4,43;0,00;0,00;19,93;0,00;0,00;7,00;0,00;0,00;0,00;45,47;4,13;3,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;3,00;0,00;3,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-11-10;14,00;0,00;0,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;11,67;0,00;0,00;3,00;3,00;0,00;0,00;34,00;0,00;0,00;3,00;3,00;7,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;3,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00
2019-11-17;31,00;7,00;7,00;10,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;4,43;26,57;0,00;0,00;10,00;0,00;4,13;0,00;55,80;0,00;3,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;3,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-11-24;7,00;3,00;3,00;3,00;0,00;0,00;3,00;3,00;0,00;0,00;0,00;4,67;44,33;0,00;0,00;0,00;0,00;0,00;0,00;70,00;0,00;0,00;14,00;0,00;3,00;0,00;0,00;0,00;0,00;10,00;0,00;0,00;3,00;3,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00
2019-12-01;32,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;10,67;12,80;0,00;0,00;7,00;0,00;4,00;0,00;80,00;0,00;0,00;4,00;0,00;7,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-08;47,00;15,00;0,00;18,00;4,00;0,00;0,00;0,00;0,00;0,00;4,48;0,00;11,19;0,00;4,00;7,00;0,00;0,00;0,00;116,48;0,00;7,00;4,00;0,00;0,00;0,00;0,00;4,00;4,00;4,00;7,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-15;29,00;14,00;4,00;7,00;4,00;7,00;0,00;4,00;0,00;0,00;0,00;11,15;17,85;0,00;0,00;4,00;0,00;0,00;0,00;91,14;0,00;4,00;7,00;0,00;4,00;0,00;4,00;4,00;0,00;7,00;4,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-22;63,00;8,00;4,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;4,34;28,24;4,00;0,00;13,00;8,00;0,00;0,00;115,84;0,00;4,00;13,00;4,00;0,00;0,00;0,00;0,00;8,00;0,00;13,00;4,00;13,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00
2019-12-29;100,00;0,00;12,00;8,00;4,00;4,00;4,00;8,00;4,00;0,00;4,44;8,89;31,11;4,00;4,00;20,00;0,00;4,08;0,00;204,08;0,00;4,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;12,00;8,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-01-05;25,00;4,00;11,00;7,00;0,00;0,00;0,00;0,00;0,00;6,82;4,55;6,82;22,73;0,00;0,00;7,00;0,00;4,17;0,00;104,17;0,00;4,00;4,00;0,00;4,00;0,00;0,00;0,00;7,00;0,00;4,00;4,00;7,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-01-12;36,00;3,00;0,00;3,00;0,00;3,00;0,00;3,00;0,00;2,25;0,00;2,25;29,25;23,00;0,00;3,00;3,00;4,00;0,00;100,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;13,00;10,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00
2020-01-19;41,00;7,00;7,00;7,00;7,00;0,00;3,00;7,00;0,00;4,56;0,00;6,83;20,50;7,00;0,00;3,00;7,00;0,00;0,00;73,80;0,00;0,00;3,00;0,00;7,00;0,00;0,00;0,00;0,00;10,00;3,00;0,00;3,00;3,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00
2020-01-26;3,00;0,00;0,00;3,00;0,00;3,00;3,00;7,00;0,00;0,00;0,00;3,00;36,00;0,00;0,00;7,00;3,00;0,00;3,00;51,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;3,00;0,00;3,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-02-02;29,00;7,00;3,00;3,00;3,00;0,00;0,00;0,00;3,00;0,00;0,00;6,69;15,62;3,00;0,00;0,00;3,00;0,00;0,00;49,71;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;10,00;3,00;3,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-02-09;34,00;3,00;3,00;3,00;10,00;0,00;0,00;14,00;0,00;0,00;0,00;4,53;24,93;0,00;0,00;3,00;3,00;6,00;0,00;64,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;3,00;10,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-02-16;40,00;0,00;0,00;10,00;7,00;0,00;0,00;3,00;0,00;0,00;0,00;4,44;26,67;3,00;0,00;10,00;7,00;0,00;0,00;70,00;4,00;0,00;3,00;3,00;14,00;0,00;3,00;0,00;0,00;3,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-02-23;35,00;6,00;0,00;13,00;6,00;0,00;3,00;3,00;0,00;2,19;2,19;8,75;15,31;6,00;0,00;0,00;0,00;4,12;0,00;32,94;0,00;3,00;6,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;3,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-01;31,00;3,00;0,00;3,00;13,00;0,00;0,00;3,00;0,00;2,21;0,00;0,00;13,29;0,00;0,00;13,00;0,00;0,00;0,00;51,67;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;3,00;6,00;0,00;9,00;3,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00
2020-03-08;12,00;6,00;0,00;0,00;6,00;3,00;0,00;0,00;0,00;2,00;0,00;6,00;6,00;0,00;0,00;3,00;0,00;0,00;0,00;24,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00
2020-03-15;18,00;0,00;6,00;0,00;12,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;3,00;0,00;0,00;0,00;14,00;0,00;0,00;3,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;3,00;3,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00
